"","P22_node_5803","P22_node_15280","P22_node_15219","P22_node_15185","P22_node_5354","P22_node_15220","P22_node_15234","P22_node_15264","P22_node_15181","P22_node_15169","P22_node_15168","P22_node_15188","P22_node_15209","P22_node_15243","P22_node_15170","P22_node_15203","P22_node_15218","P22_node_15239","P22_node_15212","P22_node_15195","P22_node_15199","P22_node_15191","P22_node_15223","P22_node_15197","P22_node_15217","P22_node_15194","P22_node_15240","P22_node_15281","P22_node_15174","P22_node_15277","P22_node_15263","P22_node_15282","P22_node_15175","P22_node_15178","P22_node_15283","P22_node_15284","P22_node_15276","P22_node_15172","P22_node_15173","P22_node_15242","P22_node_15237","P22_node_15285","P22_node_15192"
"P22_node_4363",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1
"P22_node_563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1614",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"P22_node_4362",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_4366",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2914",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_4391",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
"P22_node_3764",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_4365",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
