"","TI_HERB_18","TI_HERB_15","TI_HERB_22","TI_HERB_5008","TI_HERB_5009","TI_HERB_5010","TI_HERB_4127","TI_HERB_4873","TI_HERB_5011","TI_HERB_5012","TI_HERB_20","TI_HERB_4125","TI_HERB_16","TI_HERB_5013","TI_HERB_60","TI_HERB_5014","TI_HERB_5015"
"TI_PLANT_4558",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4559",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_4560",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4561",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_4562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4563",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_4564",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4565",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4566",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4567",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_4568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4569",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4572",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2879",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_60",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"TI_PLANT_4574",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4575",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3260",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4576",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4578",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4579",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_2849",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4580",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4581",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4582",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4584",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4585",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4586",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2900",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_65",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"TI_PLANT_4431",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4587",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2439",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"TI_PLANT_4588",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4589",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4591",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4592",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4593",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_2489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
