"","P22_node_9837","P22_node_9457","P22_node_8608","P22_node_9786","P22_node_9704","P22_node_9765","P22_node_9705","P22_node_9764","P22_node_5354","P22_node_9781","P22_node_9711","P22_node_9712","P22_node_9714","P22_node_9715","P22_node_9818","P22_node_9718","P22_node_9720","P22_node_9724","P22_node_9725","P22_node_9769","P22_node_9727","P22_node_9729","P22_node_9787","P22_node_9788","P22_node_9734","P22_node_9838","P22_node_9737","P22_node_9738","P22_node_9839","P22_node_9703","P22_node_5612","P22_node_9771","P22_node_9823","P22_node_9772","P22_node_9773","P22_node_9741","P22_node_9742","P22_node_9743","P22_node_9747","P22_node_9749","P22_node_9750","P22_node_9751","P22_node_9752","P22_node_9753","P22_node_9834","P22_node_9798","P22_node_9812","P22_node_9756","P22_node_9840","P22_node_9757","P22_node_9759","P22_node_9760","P22_node_9761","P22_node_9762","P22_node_9778","P22_node_9707","P22_node_9763"
"P22_node_1660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_1587",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
"P22_node_1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"P22_node_1593",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_1654",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"P22_node_1625",0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
"P22_node_1586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1589",0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1
"P22_node_1594",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"P22_node_1602",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
