"","D21_node_866","D21_node_49","D21_node_347","D21_node_780","D21_node_759","D21_node_1135","D21_node_348","D21_node_867","D21_node_1151","D21_node_606","D21_node_1022","D21_node_461"
"D21_node_134",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_157",1,1,0,0,0,0,0,0,0,0,0,0
"D21_node_169",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_179",1,1,0,0,0,1,0,1,0,0,1,0
"D21_node_180",1,0,0,0,0,1,0,0,0,0,0,0
"D21_node_567",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_280",1,0,0,0,0,0,0,0,0,1,0,0
"D21_node_419",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_435",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_448",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_516",1,1,0,0,0,1,1,1,0,0,1,0
"D21_node_526",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_533",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_549",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_550",1,0,0,1,0,0,0,0,0,1,0,0
"D21_node_862",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_870",1,0,0,0,0,0,1,0,0,0,0,0
"D21_node_885",1,0,0,0,0,0,0,0,0,0,1,0
"D21_node_1028",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1138",1,0,1,0,0,0,0,0,0,0,1,0
"D21_node_1161",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1171",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1217",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1368",1,0,0,1,0,0,1,0,1,1,0,0
"D21_node_1372",1,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1379",1,0,0,0,0,0,0,0,0,0,0,0
