"","TI_HERB_160","TI_HERB_161","TI_HERB_162","TI_HERB_163","TI_HERB_164","TI_HERB_165","TI_HERB_166","TI_HERB_167","TI_HERB_168","TI_HERB_169","TI_HERB_170","TI_HERB_171","TI_HERB_172"
"TI_PLANT_183",1,0,0,1,0,0,1,0,0,0,0,0,0
"TI_PLANT_184",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_185",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_186",1,0,0,1,0,0,1,0,0,0,0,0,0
"TI_PLANT_187",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_188",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_189",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_190",1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_191",0,0,0,1,1,0,0,0,0,0,0,0,0
"TI_PLANT_192",1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_193",1,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_194",1,1,0,0,1,0,0,0,0,0,0,0,1
"TI_PLANT_195",1,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_196",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_197",1,0,1,1,0,0,1,1,0,1,0,0,0
"TI_PLANT_198",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_199",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_200",1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_201",1,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_202",1,0,0,0,0,1,0,0,1,0,0,0,1
"TI_PLANT_203",1,0,0,1,0,0,0,0,0,1,0,0,0
"TI_PLANT_204",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_205",1,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_206",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_207",1,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_208",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_209",0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_210",1,0,0,1,0,0,1,0,0,0,0,0,0
"TI_PLANT_211",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_212",1,0,0,0,0,1,0,1,1,0,0,0,0
"TI_PLANT_213",0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_214",1,0,0,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_215",0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_216",0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_217",0,0,0,0,0,0,1,0,0,0,0,0,1
"TI_PLANT_218",1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_219",1,0,0,0,0,0,1,0,0,0,0,0,0
