"","TI_HERB_4720","TI_HERB_4721","TI_HERB_2887","TI_HERB_4780","TI_HERB_4734","TI_HERB_4696","TI_HERB_4729","TI_HERB_4781","TI_HERB_4753","TI_HERB_4782","TI_HERB_4783","TI_HERB_4707","TI_HERB_4719","TI_HERB_4784","TI_HERB_4764","TI_HERB_4726","TI_HERB_4757","TI_HERB_4702"
"TI_PLANT_4271",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"TI_PLANT_4272",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"TI_PLANT_4307",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4273",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4279",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_4288",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4308",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_4309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4310",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4311",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4291",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_75",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4253",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_4312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
