"","D22net11_col_1","D22net11_col_3","D22net11_col_4","D22net11_col_5","D22net11_col_6","D22net11_col_7","D22net11_col_8","D22net11_col_9","D22net11_col_10","D22net11_col_11","D22net11_col_12","D22net11_col_2","D22net11_col_13"
"D22net11_row_1",1,0,1,1,0,0,1,1,1,1,1,1,1
"D22net11_row_2",1,1,1,1,1,1,1,0,1,1,0,1,1
"D22net11_row_3",0,1,1,1,0,0,1,1,0,1,1,1,1
"D22net11_row_4",1,0,1,1,0,1,0,1,0,1,0,1,1
"D22net11_row_5",1,1,1,1,1,1,0,1,0,1,0,1,1
"D22net11_row_6",1,0,0,1,1,0,1,0,0,1,1,1,0
"D22net11_row_7",0,0,1,0,1,0,1,0,1,0,0,0,1
"D22net11_row_8",1,1,0,0,0,1,0,0,0,1,1,0,0
"D22net11_row_9",1,1,0,0,1,0,1,0,1,0,0,1,0
"D22net11_row_10",0,0,0,0,0,0,0,1,0,0,0,1,0
"D22net11_row_11",1,0,0,0,1,0,0,0,0,1,0,0,0
"D22net11_row_12",1,0,0,0,0,0,1,0,0,0,0,1,1
"D22net11_row_13",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_14",0,0,0,0,0,0,0,0,0,0,0,1,0
"D22net11_row_15",0,0,0,0,0,0,1,0,0,0,0,0,0
"D22net11_row_16",0,0,0,1,0,0,0,0,0,0,0,0,0
"D22net11_row_17",0,1,0,1,0,0,1,0,0,0,1,0,0
"D22net11_row_18",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_19",0,1,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_20",0,0,0,0,0,0,0,1,0,1,1,0,0
"D22net11_row_21",0,0,0,1,0,0,0,0,0,0,0,0,0
"D22net11_row_22",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_23",0,0,1,0,0,0,0,0,0,0,0,0,0
"D22net11_row_24",0,0,0,0,1,0,0,0,0,0,0,0,0
"D22net11_row_25",0,0,0,0,0,0,0,0,0,0,0,0,1
"D22net11_row_26",0,0,0,0,1,0,0,0,0,0,0,0,0
"D22net11_row_27",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_28",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_29",1,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_30",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_31",0,1,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_32",0,0,0,0,0,0,0,0,0,0,0,1,0
"D22net11_row_33",0,0,0,1,0,0,0,0,0,0,0,0,0
"D22net11_row_34",0,0,0,0,0,0,0,0,0,1,0,0,0
"D22net11_row_35",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_36",0,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_37",0,0,0,0,0,1,0,0,0,0,0,0,0
"D22net11_row_38",1,0,0,0,0,0,0,0,0,0,0,0,0
"D22net11_row_39",0,0,0,0,0,0,0,0,0,0,0,0,0
