"","P22_node_8480","P22_node_8481","P22_node_10820","P22_node_5117","P22_node_10832","P22_node_10833","P22_node_10808","P22_node_5124","P22_node_7085","P22_node_10809","P22_node_10810","P22_node_10783","P22_node_10795","P22_node_8489","P22_node_10834","P22_node_10835","P22_node_10836","P22_node_10800","P22_node_8495","P22_node_10790","P22_node_5165","P22_node_10837","P22_node_10791","P22_node_10804","P22_node_10805","P22_node_10838","P22_node_8508","P22_node_5529","P22_node_10797"
"P22_node_1143",0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
"P22_node_587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"P22_node_150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1152",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"P22_node_1146",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"P22_node_1154",1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
"P22_node_2175",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_1151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"P22_node_1145",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P22_node_1148",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
