"","M22_node_2406","M22_node_2281","M22_node_380","M22_node_585","M22_node_777","M22_node_1393","M22_node_2515","M22_node_1774","M22_node_705","M22_node_127","M22_node_2113","M22_node_699","M22_node_2395","M22_node_1032","M22_node_141","M22_node_778"
"M22_node_191",1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
"M22_node_2161",1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"M22_node_1915",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"M22_node_2003",1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"M22_node_1406",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"M22_node_1706",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"M22_node_2030",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"M22_node_355",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1760",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"M22_node_2433",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_771",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"M22_node_1753",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_577",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"M22_node_1124",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
