"","AI22_node_2805","AI22_node_3116","AI22_node_3129","AI22_node_329","AI22_node_636","AI22_node_1103","AI22_node_2644","AI22_node_407","AI22_node_2276","AI22_node_84","AI22_node_849","AI22_node_861","AI22_node_953","AI22_node_954","AI22_node_1073","AI22_node_2257","AI22_node_2471","AI22_node_3106","AI22_node_3167","AI22_node_3223","AI22_node_171","AI22_node_409","AI22_node_411","AI22_node_2021","AI22_node_2334","AI22_node_2798","AI22_node_257","AI22_node_335","AI22_node_863","AI22_node_865","AI22_node_2019","AI22_node_2253","AI22_node_3115","AI22_node_3149","AI22_node_1293","AI22_node_263"
"AI22_node_1026",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"AI22_node_1835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2105",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"AI22_node_2663",1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"AI22_node_3248",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_758",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"AI22_node_835",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1336",1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1
"AI22_node_2839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_3241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
