"","P22_node_5544","P22_node_7018","P22_node_13008","P22_node_6101","P22_node_5354","P22_node_6964","P22_node_5771","P22_node_6966","P22_node_8786","P22_node_8954","P22_node_8956","P22_node_6967","P22_node_12059","P22_node_9079","P22_node_6972","P22_node_5853","P22_node_6434","P22_node_13063"
"P22_node_1707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_257",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"P22_node_3328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_396",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
"P22_node_3191",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
"P22_node_612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"P22_node_180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3332",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"P22_node_1302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_1348",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_1676",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
