"","TI_HERB_2379","TI_HERB_2380","TI_HERB_2381","TI_HERB_2382","TI_HERB_2383","TI_HERB_2384","TI_HERB_2385","TI_HERB_2386","TI_HERB_2387","TI_HERB_2388","TI_HERB_2389","TI_HERB_2390","TI_HERB_2391","TI_HERB_2392","TI_HERB_2393","TI_HERB_2394","TI_HERB_2395","TI_HERB_2396","TI_HERB_2397","TI_HERB_2398","TI_HERB_2399"
"TI_PLANT_2537",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_2538",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TI_PLANT_712",0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_2539",0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"TI_PLANT_2540",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
"TI_PLANT_2541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2542",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"TI_PLANT_2543",0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_146",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2544",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"TI_PLANT_2545",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
