"","M22_node_2281","M22_node_709","M22_node_2395","M22_node_380","M22_node_296","M22_node_2314","M22_node_1765","M22_node_2406","M22_node_2455","M22_node_1657","M22_node_585","M22_node_1978","M22_node_127","M22_node_1434","M22_node_699","M22_node_1764","M22_node_2371","M22_node_705","M22_node_1128","M22_node_593","M22_node_778","M22_node_290"
"M22_node_191",1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1
"M22_node_48",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"M22_node_2433",1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"M22_node_2096",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"M22_node_2061",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"M22_node_771",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"M22_node_2003",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1531",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2161",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2421",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_412",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2331",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_2030",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1123",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1706",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1875",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_324",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_1760",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_345",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M22_node_23",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
