"","TI_HERB_4719","TI_HERB_4720","TI_HERB_4721","TI_HERB_4722","TI_HERB_1816","TI_HERB_4723","TI_HERB_4724","TI_HERB_4725","TI_HERB_4702","TI_HERB_4726","TI_HERB_4727","TI_HERB_4728"
"TI_PLANT_4271",0,1,0,0,0,1,1,1,1,0,1,0
"TI_PLANT_4272",0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4273",0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4274",0,0,0,0,1,0,0,0,0,0,0,0
"TI_PLANT_4275",1,0,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_4276",0,0,0,0,0,0,1,0,0,0,0,1
"TI_PLANT_75",0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4253",0,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_3567",0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_4277",1,0,0,0,1,0,0,0,1,0,1,0
"TI_PLANT_4278",0,0,0,1,0,0,0,0,0,0,0,0
