"","AI22_node_2990","AI22_node_1189","AI22_node_2966","AI22_node_635","AI22_node_3184","AI22_node_2520","AI22_node_2378","AI22_node_184","AI22_node_155","AI22_node_716","AI22_node_639","AI22_node_171","AI22_node_271","AI22_node_638","AI22_node_1046","AI22_node_270","AI22_node_3060","AI22_node_2621","AI22_node_644"
"AI22_node_1818",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"AI22_node_1180",1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
"AI22_node_2759",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AI22_node_1026",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_1666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_708",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2401",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AI22_node_422",1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"AI22_node_2938",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
