"","D22net41_col_1","D22net41_col_2","D22net41_col_3","D22net41_col_4","D22net41_col_5","D22net41_col_8","D22net41_col_11","D22net41_col_6","D22net41_col_7","D22net41_col_9","D22net41_col_10"
"D22net41_row_1",1,1,1,1,1,0,0,1,1,1,0
"D22net41_row_2",1,1,1,1,0,0,0,1,0,1,1
"D22net41_row_3",1,1,1,1,1,0,0,0,0,0,0
"D22net41_row_4",1,1,1,1,1,0,0,0,1,0,1
"D22net41_row_5",1,1,1,1,0,0,0,1,0,0,0
"D22net41_row_6",1,0,1,1,1,0,0,0,0,0,0
"D22net41_row_7",0,0,1,0,0,0,0,0,0,0,0
"D22net41_row_8",1,1,0,0,0,0,0,0,0,0,0
"D22net41_row_9",1,0,0,1,0,0,0,0,0,0,0
"D22net41_row_10",1,1,0,1,0,0,0,0,0,0,0
"D22net41_row_11",1,1,0,0,0,0,0,0,0,0,0
"D22net41_row_12",0,0,0,0,0,0,0,0,0,0,0
