"","TI_HERB_1920","TI_HERB_1921","TI_HERB_1922","TI_HERB_1923","TI_HERB_1924","TI_HERB_1925","TI_HERB_1926","TI_HERB_1927","TI_HERB_1928","TI_HERB_1929","TI_HERB_1930","TI_HERB_1931","TI_HERB_1932","TI_HERB_1933","TI_HERB_1934","TI_HERB_1935","TI_HERB_1936","TI_HERB_1937","TI_HERB_1938","TI_HERB_1939","TI_HERB_1940","TI_HERB_1941","TI_HERB_823","TI_HERB_1942","TI_HERB_1943","TI_HERB_1944","TI_HERB_1945","TI_HERB_1946","TI_HERB_1947","TI_HERB_1948","TI_HERB_1949","TI_HERB_1950","TI_HERB_1951","TI_HERB_1952","TI_HERB_1953","TI_HERB_1954","TI_HERB_1955","TI_HERB_1956","TI_HERB_1957","TI_HERB_1958","TI_HERB_1959","TI_HERB_1960","TI_HERB_1961","TI_HERB_1962","TI_HERB_1963","TI_HERB_1964","TI_HERB_833","TI_HERB_1965","TI_HERB_813","TI_HERB_1966","TI_HERB_1967","TI_HERB_1968","TI_HERB_1969","TI_HERB_1970","TI_HERB_1971","TI_HERB_815","TI_HERB_1972","TI_HERB_807","TI_HERB_1973","TI_HERB_1974","TI_HERB_1975","TI_HERB_1976","TI_HERB_1977","TI_HERB_1978","TI_HERB_1979","TI_HERB_1980","TI_HERB_1981","TI_HERB_1982","TI_HERB_1983","TI_HERB_1984","TI_HERB_1985","TI_HERB_1986","TI_HERB_1987","TI_HERB_1988","TI_HERB_1989","TI_HERB_1990","TI_HERB_1991","TI_HERB_1992","TI_HERB_1993"
"TI_PLANT_141",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
"TI_PLANT_2038",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"TI_PLANT_1922",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"TI_PLANT_2413",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"TI_PLANT_2414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_1919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2415",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"TI_PLANT_2417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
