"","M22_node_125","M22_node_896","M22_node_2399","M22_node_1140","M22_node_1545","M22_node_1819","M22_node_476","M22_node_523","M22_node_2292","M22_node_1700","M22_node_2525"
"M22_node_660",1,1,0,0,0,1,0,0,1,0,0
"M22_node_716",1,0,0,1,0,0,0,1,0,0,0
"M22_node_1050",1,0,1,0,1,0,0,0,1,0,0
"M22_node_1217",1,0,1,0,0,0,0,0,0,0,0
"M22_node_1474",0,0,0,0,0,0,0,0,0,1,0
"M22_node_1810",1,0,1,0,0,1,0,0,0,1,0
"M22_node_1866",1,0,0,1,0,1,0,0,1,0,0
"M22_node_2035",0,0,0,0,0,0,0,0,1,0,0
"M22_node_2038",1,0,1,0,0,0,0,0,0,0,0
"M22_node_138",1,1,1,1,1,1,1,0,1,1,1
"M22_node_2503",1,0,1,0,0,0,0,0,1,0,1
