"","WOL_node_7019","WOL_node_7207","WOL_node_6838","WOL_node_12718","WOL_node_15394","WOL_node_6334","WOL_node_10327","WOL_node_10696","WOL_node_12722","WOL_node_15397","WOL_node_7289","WOL_node_12720","WOL_node_69","WOL_node_2347","WOL_node_2966","WOL_node_12329","WOL_node_9922"
"WOL_node_4736",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_770",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"WOL_node_12152",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1727",1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
"WOL_node_1688",1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"WOL_node_1700",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1706",1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
"WOL_node_1710",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_10474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_649",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_723",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6684",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6709",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7645",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2662",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4702",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4722",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"WOL_node_4728",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_4729",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_5888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12773",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4471",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_4697",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2827",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_8419",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_8715",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_8716",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9561",1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1
"WOL_node_10768",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11209",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12395",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_6819",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_7283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7507",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"WOL_node_10125",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_10653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_8664",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_145",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_15730",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7468",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_10769",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_830",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2899",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_5886",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"WOL_node_6912",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7771",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9304",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_9943",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11724",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12178",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_902",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7231",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_10086",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_11100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12502",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_8769",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7968",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
