"","P22_node_9466","P22_node_10730","P22_node_10731","P22_node_10732","P22_node_10733","P22_node_10734","P22_node_10735","P22_node_10736","P22_node_10737","P22_node_10738","P22_node_10739","P22_node_10740","P22_node_10741","P22_node_10742"
"P22_node_2153",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_2154",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2155",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_2156",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_2157",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"P22_node_2158",1,0,0,1,1,1,1,0,0,0,0,0,0,1
"P22_node_2159",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"P22_node_2160",1,1,0,0,1,1,1,0,0,0,0,0,0,1
"P22_node_2161",0,1,0,0,0,0,0,1,0,0,0,0,0,1
"P22_node_2162",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2163",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"P22_node_2164",1,1,0,0,1,0,1,1,0,0,0,0,1,1
"P22_node_2165",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_2166",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_2167",0,0,0,0,0,0,0,0,0,0,0,0,0,0
