"","P22_node_5544","P22_node_5853","P22_node_7018","P22_node_13057","P22_node_7025","P22_node_6101","P22_node_13049","P22_node_5230","P22_node_5354","P22_node_9974","P22_node_6964","P22_node_8786","P22_node_8997","P22_node_8998","P22_node_8954","P22_node_10243","P22_node_9011","P22_node_5802","P22_node_9126","P22_node_9928","P22_node_9876","P22_node_5295","P22_node_12041","P22_node_5912","P22_node_5198"
"P22_node_1336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2877",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_625",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P22_node_257",0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"P22_node_396",1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"P22_node_1350",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"P22_node_3191",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P22_node_151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1354",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_1342",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
