"","P22_node_11046","P22_node_11047","P22_node_10981","P22_node_11048","P22_node_11049","P22_node_5354","P22_node_11050","P22_node_10985","P22_node_10986","P22_node_11051","P22_node_11052","P22_node_10990","P22_node_10991","P22_node_11053","P22_node_11054","P22_node_11055","P22_node_11056","P22_node_11057","P22_node_10997","P22_node_10365","P22_node_11058","P22_node_10237","P22_node_11004","P22_node_11059","P22_node_11060","P22_node_11061","P22_node_11062","P22_node_10305","P22_node_10375","P22_node_11063","P22_node_11021","P22_node_11022","P22_node_11064","P22_node_11065","P22_node_11026","P22_node_11066","P22_node_11067","P22_node_11068","P22_node_11069","P22_node_11070","P22_node_9368","P22_node_11030","P22_node_11032","P22_node_11071","P22_node_10332","P22_node_11072","P22_node_11034","P22_node_11073","P22_node_11074","P22_node_11075","P22_node_10258","P22_node_11038","P22_node_11076","P22_node_11077","P22_node_11078","P22_node_11044","P22_node_11043"
"P22_node_2305",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P22_node_2292",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"P22_node_2306",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2307",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"P22_node_2308",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2309",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_2310",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"P22_node_2281",1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"P22_node_2311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2290",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
