"","AI22_node_171","AI22_node_602","AI22_node_1464","AI22_node_3184","AI22_node_270","AI22_node_315","AI22_node_321","AI22_node_322","AI22_node_326","AI22_node_3073"
"AI22_node_2273",0,0,0,1,0,0,0,0,0,0
"AI22_node_936",1,0,1,1,0,1,0,0,0,1
"AI22_node_2740",1,0,0,1,0,0,0,0,0,0
"AI22_node_464",0,0,0,0,0,0,0,0,0,0
"AI22_node_484",0,1,1,1,1,0,0,0,0,0
"AI22_node_771",0,0,0,1,1,0,0,1,0,0
"AI22_node_939",0,0,0,1,0,0,0,0,0,0
"AI22_node_80",0,0,1,0,0,0,0,0,0,0
"AI22_node_355",0,0,0,1,0,0,0,0,0,0
"AI22_node_1807",0,0,1,1,0,0,0,0,0,0
"AI22_node_490",0,0,0,1,0,0,0,0,0,0
"AI22_node_2110",0,0,0,1,0,0,0,0,0,0
"AI22_node_1912",0,0,0,0,0,0,0,0,0,0
"AI22_node_2080",0,0,0,1,0,0,0,0,0,0
"AI22_node_2082",1,0,0,1,0,0,0,0,0,0
"AI22_node_1378",0,0,0,1,0,0,0,0,0,0
"AI22_node_504",0,0,0,1,0,0,0,0,0,0
"AI22_node_1816",0,0,0,1,0,0,0,0,0,0
