"","AI22_node_2540","AI22_node_2559","AI22_node_226","AI22_node_434","AI22_node_446","AI22_node_876","AI22_node_1814","AI22_node_1834","AI22_node_2122","AI22_node_2265","AI22_node_3388"
"AI22_node_8",0,0,0,1,0,1,0,0,1,0,0
"AI22_node_350",1,0,1,0,0,1,0,1,1,1,0
"AI22_node_1285",0,0,0,1,0,0,0,0,0,0,0
"AI22_node_815",1,0,0,0,1,0,0,0,0,1,1
"AI22_node_1246",0,0,0,0,0,0,0,0,0,0,0
"AI22_node_535",1,0,0,0,0,0,0,0,0,0,0
"AI22_node_1445",1,0,0,1,1,0,0,0,0,0,0
"AI22_node_507",0,0,0,0,0,0,0,1,0,0,0
"AI22_node_3091",0,0,1,0,0,0,0,0,1,0,0
"AI22_node_358",0,0,0,0,0,0,0,0,0,0,0
