"","TI_HERB_2043","TI_HERB_2065","TI_HERB_1996","TI_HERB_2112","TI_HERB_1924","TI_HERB_1926","TI_HERB_1930","TI_HERB_1933","TI_HERB_1932","TI_HERB_2001","TI_HERB_1935","TI_HERB_2003","TI_HERB_2113","TI_HERB_2049","TI_HERB_2005","TI_HERB_1940","TI_HERB_2114","TI_HERB_2115","TI_HERB_2053","TI_HERB_2116","TI_HERB_2054","TI_HERB_2009","TI_HERB_2117","TI_HERB_1947","TI_HERB_1952","TI_HERB_1956","TI_HERB_1957","TI_HERB_1960","TI_HERB_1961","TI_HERB_1962","TI_HERB_1963","TI_HERB_1964","TI_HERB_825","TI_HERB_2018","TI_HERB_2020","TI_HERB_2077","TI_HERB_813","TI_HERB_1967","TI_HERB_2022","TI_HERB_2118","TI_HERB_1968","TI_HERB_2023","TI_HERB_2119","TI_HERB_1969","TI_HERB_1971","TI_HERB_815","TI_HERB_1972","TI_HERB_2027","TI_HERB_2079","TI_HERB_2028","TI_HERB_2120","TI_HERB_2121","TI_HERB_2122","TI_HERB_2030","TI_HERB_2123","TI_HERB_1977","TI_HERB_2124","TI_HERB_2125","TI_HERB_2126","TI_HERB_2127","TI_HERB_1982","TI_HERB_1983","TI_HERB_2037","TI_HERB_1984","TI_HERB_1986","TI_HERB_1987","TI_HERB_2128","TI_HERB_2129","TI_HERB_2040","TI_HERB_2109","TI_HERB_2064","TI_HERB_2130","TI_HERB_2131","TI_HERB_2132","TI_HERB_2042","TI_HERB_2133","TI_HERB_2134","TI_HERB_2135","TI_HERB_2136","TI_HERB_1993"
"TI_PLANT_141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_2426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2414",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"TI_PLANT_713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2413",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_2416",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
