"","P22_node_12571","P22_node_12572","P22_node_12242","P22_node_11206","P22_node_6109","P22_node_12573","P22_node_5354","P22_node_6964","P22_node_6966","P22_node_6967","P22_node_5913","P22_node_12574","P22_node_6920","P22_node_12575","P22_node_12576","P22_node_5859","P22_node_6767","P22_node_12577","P22_node_12578","P22_node_12579","P22_node_12580","P22_node_12581","P22_node_12582","P22_node_12583","P22_node_12584","P22_node_12585","P22_node_12586","P22_node_6036","P22_node_8851","P22_node_12587","P22_node_12588","P22_node_12589","P22_node_9170","P22_node_12590","P22_node_12591","P22_node_5873","P22_node_5876","P22_node_9570","P22_node_12592","P22_node_5295","P22_node_12593","P22_node_12594","P22_node_12595","P22_node_9025","P22_node_12596","P22_node_5912","P22_node_5198"
"P22_node_626",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_1343",1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P22_node_3141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_396",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
"P22_node_302",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"P22_node_667",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3142",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_612",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3143",1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P22_node_3144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P22_node_1335",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
