"","TI_HERB_4657","TI_HERB_4658","TI_HERB_4659","TI_HERB_4660","TI_HERB_4661","TI_HERB_4662","TI_HERB_4663","TI_HERB_4664","TI_HERB_4665","TI_HERB_4666","TI_HERB_4667","TI_HERB_4668","TI_HERB_4669","TI_HERB_4670","TI_HERB_4671","TI_HERB_4672","TI_HERB_4673","TI_HERB_4674","TI_HERB_4675","TI_HERB_4676"
"TI_PLANT_3974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3975",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3976",0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"TI_PLANT_3977",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3978",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3979",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_3980",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"TI_PLANT_3981",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_3982",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3983",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3984",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"TI_PLANT_3985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3986",0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3911",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"TI_PLANT_3987",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"TI_PLANT_3988",1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0
"TI_PLANT_3989",1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
"TI_PLANT_3990",1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"TI_PLANT_3991",1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
"TI_PLANT_3871",0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"TI_PLANT_3992",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3993",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
"TI_PLANT_3994",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_3996",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_3997",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"TI_PLANT_3998",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_3999",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4000",0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4001",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4003",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4005",1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"TI_PLANT_4006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4007",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4008",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4009",0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"TI_PLANT_4010",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4011",0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1
"TI_PLANT_4012",0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
"TI_PLANT_3927",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4013",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_3928",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"TI_PLANT_4014",1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4015",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4016",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4017",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4018",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4019",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
"TI_PLANT_4020",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"TI_PLANT_4021",1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
"TI_PLANT_4022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_4023",1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"TI_PLANT_3939",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"TI_PLANT_4024",0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0
"TI_PLANT_4025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4026",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3887",0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"TI_PLANT_4027",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4028",0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_4029",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4030",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_4031",1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4032",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TI_PLANT_4033",1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4034",1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"TI_PLANT_4035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4036",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4037",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4038",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_3943",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4039",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_4040",0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4041",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4042",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_4043",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4044",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_4045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4046",1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0
"TI_PLANT_4047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TI_PLANT_4048",0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4049",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"TI_PLANT_4050",0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"TI_PLANT_4051",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"TI_PLANT_4052",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"TI_PLANT_4053",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0
"TI_PLANT_4054",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_3949",1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0
"TI_PLANT_4055",1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"TI_PLANT_3950",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4056",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4057",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4058",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4059",0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4060",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_4061",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4062",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_4063",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4064",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
"TI_PLANT_4065",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"TI_PLANT_4066",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"TI_PLANT_4067",1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
"TI_PLANT_4068",1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
"TI_PLANT_4069",1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"TI_PLANT_3892",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4070",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4071",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_4072",1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1
"TI_PLANT_4073",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4075",0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"TI_PLANT_4076",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TI_PLANT_4077",0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
"TI_PLANT_4078",0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4079",0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"TI_PLANT_4080",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4084",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4085",1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4086",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_4087",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_4088",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"TI_PLANT_4089",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
"TI_PLANT_4090",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4091",1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0
"TI_PLANT_4092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TI_PLANT_4093",1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_3967",0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_4094",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4095",1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
"TI_PLANT_4096",1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"TI_PLANT_4097",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4099",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"TI_PLANT_4100",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_4101",1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
"TI_PLANT_4102",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_4103",0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"TI_PLANT_4104",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_4105",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
