"","P22_node_7076","P22_node_5354","P22_node_10988","P22_node_6908","P22_node_11463","P22_node_11654","P22_node_11655","P22_node_11131","P22_node_10197","P22_node_10666","P22_node_12642","P22_node_12987","P22_node_12988","P22_node_12965","P22_node_10674","P22_node_12981","P22_node_12989","P22_node_12967","P22_node_11582","P22_node_10613"
"P22_node_3264",0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
"P22_node_3265",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"P22_node_2896",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P22_node_3266",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"P22_node_3269",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P22_node_3270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3271",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"P22_node_3272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"P22_node_3273",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
