"","P22_node_7198","P22_node_5313","P22_node_14161","P22_node_5582","P22_node_11279","P22_node_14202","P22_node_14191","P22_node_14162","P22_node_14335","P22_node_11264","P22_node_13540","P22_node_5354","P22_node_14167","P22_node_5363","P22_node_9588","P22_node_11213","P22_node_14169","P22_node_9020","P22_node_14172","P22_node_14209","P22_node_14173","P22_node_14174","P22_node_14266","P22_node_14177","P22_node_14178","P22_node_14297","P22_node_14179","P22_node_14314","P22_node_14263","P22_node_14213","P22_node_14184","P22_node_14237","P22_node_14214","P22_node_14185","P22_node_14186","P22_node_14244","P22_node_14254","P22_node_14192","P22_node_7020","P22_node_11254","P22_node_14336","P22_node_14268","P22_node_14229","P22_node_5530","P22_node_14232","P22_node_14334","P22_node_14303","P22_node_9696","P22_node_5198"
"P22_node_3909",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0
"P22_node_151",1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
"P22_node_1113",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3907",0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_2482",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3916",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P22_node_3912",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"P22_node_3937",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22_node_3938",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
