"","M22_node_1376","M22_node_2416","M22_node_1207","M22_node_1963","M22_node_2405","M22_node_1230","M22_node_1972","M22_node_2184","M22_node_1641","M22_node_1028","M22_node_1423"
"M22_node_445",1,1,1,1,1,0,1,0,0,0,0
"M22_node_2330",1,1,0,0,0,0,1,0,0,0,0
"M22_node_340",1,1,1,1,1,1,1,1,1,0,0
"M22_node_625",1,1,1,0,0,1,1,1,1,0,0
"M22_node_2358",1,1,0,0,0,0,0,0,0,0,0
"M22_node_2167",1,1,1,0,0,0,1,1,0,0,0
"M22_node_1782",1,1,1,1,0,0,1,1,1,0,0
"M22_node_511",1,1,0,0,0,0,0,0,1,0,0
"M22_node_218",1,0,1,0,0,0,1,0,0,0,0
"M22_node_413",0,1,0,0,0,0,0,0,0,0,0
"M22_node_1090",1,1,1,0,0,0,0,1,1,0,0
"M22_node_2018",1,1,1,0,0,0,0,1,0,0,0
"M22_node_2120",0,0,0,1,0,0,0,0,0,0,0
"M22_node_303",0,0,0,0,0,0,0,0,0,0,0
"M22_node_1703",1,1,1,0,0,0,0,1,0,0,0
"M22_node_927",1,1,0,1,0,0,0,1,1,0,0
"M22_node_2342",1,1,0,1,0,0,0,0,0,0,0
"M22_node_2499",1,1,1,0,0,0,0,0,1,0,0
"M22_node_279",1,1,0,0,0,0,0,1,0,0,0
"M22_node_458",1,0,0,1,0,0,0,0,0,0,0
"M22_node_487",1,1,1,0,0,0,0,0,1,0,0
"M22_node_1677",0,0,0,0,0,0,0,0,0,0,1
"M22_node_358",0,1,0,0,0,0,0,0,0,0,0
"M22_node_197",0,0,1,0,0,0,0,0,0,1,0
