"","WOL_node_3521","WOL_node_7993","WOL_node_11665","WOL_node_313","WOL_node_338","WOL_node_1050","WOL_node_1218","WOL_node_3043","WOL_node_3522","WOL_node_4445","WOL_node_6629","WOL_node_7535","WOL_node_7996","WOL_node_8002","WOL_node_8440","WOL_node_11455","WOL_node_11700","WOL_node_11702"
"WOL_node_2998",0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
"WOL_node_3607",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1
"WOL_node_7581",1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1
"WOL_node_8458",1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1
"WOL_node_8459",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
"WOL_node_539",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"WOL_node_418",0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1
"WOL_node_3417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"WOL_node_3604",0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
"WOL_node_5259",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"WOL_node_9122",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7877",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_6383",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_9381",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_541",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"WOL_node_9478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_531",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_537",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"WOL_node_8903",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"WOL_node_11936",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"WOL_node_6972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_5260",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_8902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
