"","TI_HERB_18","TI_HERB_964","TI_HERB_965","TI_HERB_966","TI_HERB_15","TI_HERB_967","TI_HERB_968","TI_HERB_969","TI_HERB_970","TI_HERB_971","TI_HERB_972"
"TI_PLANT_846",0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_847",0,0,0,0,1,0,0,0,0,0,0
"TI_PLANT_848",0,0,0,0,0,0,0,0,0,0,1
"TI_PLANT_849",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_850",1,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_851",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_852",0,0,0,0,0,0,0,1,0,0,1
"TI_PLANT_295",1,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_853",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_854",0,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_855",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_856",1,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_857",0,0,0,0,1,0,0,0,0,0,1
"TI_PLANT_41",1,1,0,0,0,0,0,0,0,0,0
"TI_PLANT_858",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_859",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_860",1,0,0,1,1,1,1,0,0,0,0
"TI_PLANT_861",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_862",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_863",1,0,0,0,0,1,0,0,0,1,0
"TI_PLANT_864",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_865",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_80",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_866",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_867",1,0,0,0,0,1,0,0,0,0,0
"TI_PLANT_868",0,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_869",1,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_870",1,0,0,0,0,1,1,0,0,0,0
"TI_PLANT_871",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_872",1,0,0,0,0,0,0,0,0,0,0
"TI_PLANT_873",0,0,0,0,0,0,0,0,0,0,0
