"","AI22_node_2702","AI22_node_3105","AI22_node_1280","AI22_node_1284","AI22_node_1302","AI22_node_1300","AI22_node_1305","AI22_node_1297","AI22_node_1307","AI22_node_1298","AI22_node_1295","AI22_node_1309","AI22_node_1322","AI22_node_1318","AI22_node_2360","AI22_node_2286"
"AI22_node_1498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_2940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_1472",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"AI22_node_1627",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"AI22_node_3323",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AI22_node_558",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"AI22_node_749",0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"AI22_node_559",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AI22_node_2235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_750",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"AI22_node_2608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AI22_node_564",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"AI22_node_215",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"AI22_node_2077",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
