"","mangal_node_3449","mangal_node_3306","mangal_node_0090","mangal_node_3318","mangal_node_3399","mangal_node_3450","mangal_node_3474","mangal_node_3466","mangal_node_3316","mangal_node_3467","mangal_node_3471","mangal_node_3317","mangal_node_3451","mangal_node_3395","mangal_node_3472","mangal_node_3475","mangal_node_3308","mangal_node_3468","mangal_node_3476"
"mangal_node_3295",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mangal_node_3417",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3448",1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"mangal_node_3408",1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
"mangal_node_3407",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"mangal_node_3294",1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"mangal_node_3327",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3298",1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
"mangal_node_3469",1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"mangal_node_3405",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"mangal_node_3464",1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"mangal_node_3445",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3473",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3470",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3303",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3465",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
