"","mangal_node_0090","mangal_node_2538","mangal_node_2540","mangal_node_2543","mangal_node_2544","mangal_node_2546","mangal_node_2539","mangal_node_0089","mangal_node_1517","mangal_node_2541","mangal_node_2542","mangal_node_2545"
"mangal_node_2535",1,1,0,0,0,0,0,1,0,0,0,0
"mangal_node_2536",0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_0090",1,1,1,0,0,1,0,1,0,0,0,1
"mangal_node_2537",1,1,1,0,0,0,0,1,0,0,0,0
"mangal_node_2525",1,1,1,1,1,1,1,1,1,0,0,1
"mangal_node_2526",0,0,0,0,0,1,0,1,0,0,0,0
"mangal_node_2527",0,1,0,0,0,1,0,1,1,0,0,0
"mangal_node_2528",0,1,0,0,0,0,0,1,0,0,0,0
"mangal_node_2529",1,0,1,0,0,0,0,1,0,0,0,1
"mangal_node_2530",0,1,1,0,0,0,0,1,0,0,0,0
"mangal_node_2531",0,1,0,0,0,0,0,1,0,0,0,0
"mangal_node_2532",1,1,1,1,0,0,0,1,0,0,0,0
"mangal_node_2533",0,0,0,1,0,0,0,1,0,0,0,0
"mangal_node_2534",0,1,1,0,0,0,0,0,0,1,0,0
