"";"network_db";"network_id";"reference";"citation"
"1";"P22";"1";NA;"arroyo1982_1"
"2";"P22";"10";NA;"inouye1988"
"3";"P22";"100";NA;"Carman et al 2016"
"4";"P22";"101";NA;"Carman et al 2016"
"5";"P22";"102";NA;"Carvalho et al 2014"
"6";"P22";"103";NA;"Chamberlain et al. 2014"
"7";"P22";"104";NA;"Chamberlain et al. 2014"
"8";"P22";"105";NA;"Chamberlain et al. 2014"
"9";"P22";"106";NA;"Chamberlain et al. 2014"
"10";"P22";"107";NA;"Chamberlain et al. 2014"
"11";"P22";"108";NA;"Chamberlain et al. 2014"
"12";"P22";"109";NA;"Chamberlain et al. 2014"
"13";"P22";"11";NA;"kato1990"
"14";"P22";"110";NA;"Chamberlain et al. 2014"
"15";"P22";"111";NA;"Chamberlain et al. 2014"
"16";"P22";"112";NA;"Chamberlain et al. 2014"
"17";"P22";"113";NA;"Chamberlain et al. 2014"
"18";"P22";"114";NA;"Chamberlain et al. 2014"
"19";"P22";"115";NA;"Chamberlain et al. 2014"
"20";"P22";"116";NA;"Chamberlain et al. 2014"
"21";"P22";"117";NA;"Chamberlain et al. 2014"
"22";"P22";"118";NA;"Chamberlain et al. 2014"
"23";"P22";"119";NA;"Chamberlain et al. 2014"
"24";"P22";"12";NA;"kevan1970"
"25";"P22";"120";NA;"Chamberlain et al. 2014"
"26";"P22";"121";NA;"Chamberlain et al. 2014"
"27";"P22";"122";NA;"Chamberlain et al. 2014"
"28";"P22";"123";NA;"Chamberlain et al. 2014"
"29";"P22";"124";NA;"Chamberlain et al. 2014"
"30";"P22";"125";NA;"Chamberlain et al. 2014"
"31";"P22";"126";NA;"Chamberlain et al. 2014"
"32";"P22";"127";NA;"Chamberlain et al. 2014"
"33";"P22";"128";NA;"Chamberlain et al. 2014"
"34";"P22";"129";NA;"Chamberlain et al. 2014"
"35";"P22";"13";NA;"mcmullen1993"
"36";"P22";"130";NA;"Chamberlain et al. 2014"
"37";"P22";"131";NA;"Chamberlain et al. 2014"
"38";"P22";"132";NA;"Chamberlain et al. 2014"
"39";"P22";"133";NA;"Chamberlain et al. 2014"
"40";"P22";"134";NA;"Chamberlain et al. 2014"
"41";"P22";"135";NA;"Chamberlain et al. 2014"
"42";"P22";"136";NA;"Chamberlain et al. 2014"
"43";"P22";"137";NA;"Chamberlain et al. 2014"
"44";"P22";"138";NA;"Chamberlain et al. 2014"
