"";"network_db";"network_id";"reference";"citation"
"1";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1";NA;"Cattin Blandenier (2004)"
"2226";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2";NA;"Cattin Blandenier (2004)"
"3552";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1";NA;"Cattin Blandenier (2004)"
"5218";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2";NA;"Cattin Blandenier (2004)"
"6053";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ";NA;"Cattin Blandenier (2004)"
"7533";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ";NA;"Cattin Blandenier (2004)"
"8882";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ";NA;"Cattin Blandenier (2004)"
"10224";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ";NA;"Cattin Blandenier (2004)"
"11498";"gateway";"Ythan Estuary";NA;"Cohen et al. (2009)"
"11915";"gateway";"AEW01";NA;"Digel et al. (2014)"
"13756";"gateway";"AEW02";NA;"Digel et al. (2014)"
"17101";"gateway";"AEW03";NA;"Digel et al. (2014)"
"18946";"gateway";"AEW04";NA;"Digel et al. (2014)"
"20784";"gateway";"AEW05";NA;"Digel et al. (2014)"
"22660";"gateway";"AEW06";NA;"Digel et al. (2014)"
"24405";"gateway";"AEW07";NA;"Digel et al. (2014)"
"26363";"gateway";"AEW08";NA;"Digel et al. (2014)"
"28668";"gateway";"AEW09";NA;"Digel et al. (2014)"
"31042";"gateway";"AEW11";NA;"Digel et al. (2014)"
"32907";"gateway";"AEW17";NA;"Digel et al. (2014)"
"35771";"gateway";"AEW18";NA;"Digel et al. (2014)"
"37380";"gateway";"AEW25";NA;"Digel et al. (2014)"
"39234";"gateway";"AEW27";NA;"Digel et al. (2014)"
"40580";"gateway";"AEW30";NA;"Digel et al. (2014)"
"42003";"gateway";"AEW49";NA;"Digel et al. (2014)"
"44886";"gateway";"HEW01";NA;"Digel et al. (2014)"
"46459";"gateway";"HEW02";NA;"Digel et al. (2014)"
"48238";"gateway";"HEW03";NA;"Digel et al. (2014)"
"49906";"gateway";"HEW04";NA;"Digel et al. (2014)"
"51102";"gateway";"HEW05";NA;"Digel et al. (2014)"
"54240";"gateway";"HEW06";NA;"Digel et al. (2014)"
"56586";"gateway";"HEW10";NA;"Digel et al. (2014)"
"57475";"gateway";"HEW11";NA;"Digel et al. (2014)"
"59406";"gateway";"HEW12";NA;"Digel et al. (2014)"
"61922";"gateway";"HEW13";NA;"Digel et al. (2014)"
"64076";"gateway";"HEW16";NA;"Digel et al. (2014)"
"66351";"gateway";"HEW17";NA;"Digel et al. (2014)"
"68461";"gateway";"HEW21";NA;"Digel et al. (2014)"
"70460";"gateway";"HEW22";NA;"Digel et al. (2014)"
"72598";"gateway";"HEW36";NA;"Digel et al. (2014)"
"75849";"gateway";"HEW47";NA;"Digel et al. (2014)"
"78922";"gateway";"SEW01";NA;"Digel et al. (2014)"
