"";"network_db";"network_id";"reference";"citation"
"1";"D21";"1_USA";"Ollerton et al. (2009) Ann. Bot., 103, 1471–1480";"Ollerton_2009"
"2";"D21";"2_USA";"Alarcón et al. (2008) Oikos, 117, 1796–1807";"Alarcón_2008"
"3";"D21";"3_Cuba";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"4";"D21";"80_Mexico";"Own unpublished data";"D21_unpublished_data"
"5";"D21";"4_Mexico";"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289";"Martínez_2014"
"6";"D21";"5_Mexico";"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289";"Martínez_2014"
"7";"D21";"6_Mexico";"Martínez-García & Ortiz-Pulido (2014) Ornit Neotrop, 25, 273–289";"Martínez_2014"
"8";"D21";"79_Mexico";"Own unpublished data";"D21_unpublished_data"
"9";"D21";"7_Mexico";"Own unpublished data";"D21_unpublished_data"
"10";"D21";"8_Mexico";"Arizmendi & Ornelas (1990) Biotropica, 22, 172–180";"Arizmendi_1990"
"11";"D21";"9_Mexico";"Own unpublished data";"D21_unpublished_data"
"12";"D21";"10_Mexico";"Own unpublished data";"D21_unpublished_data"
"13";"D21";"11_Mexico";"Own unpublished data";"D21_unpublished_data"
"14";"D21";"12_Mexico";"Own unpublished data";"D21_unpublished_data"
"15";"D21";"93_British_Virgin_Islands";"Own unpublished data";"D21_unpublished_data"
"16";"D21";"13_Jamaica";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"17";"D21";"14_Puerto_Rico";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"18";"D21";"15_Puerto_Rico";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"19";"D21";"90_Mexico";"Partida-Lara et al. (2012) Rev. Biol. Trop., 60, 1621-1630";"Partida_2012"
"20";"D21";"89_Mexico";"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307";"Partida_2018"
"21";"D21";"88_Mexico";"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307";"Partida_2018"
"22";"D21";"87_Mexico";"Partida-Lara et al. (2018) J. Trop. Ecol., 34, 293–307";"Partida_2018"
"23";"D21";"16_Dominica";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"24";"D21";"17_Dominica";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"25";"D21";"18_Grenada";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"26";"D21";"19_Grenada";"Dalsgaard et al. (2018) Proc. R. Soc. B., 285, 20172754";"Dalsgaard_2018"
"27";"D21";"20_Trinidad_&_Tobago";"Snow & Snow (1972) J. Anim. Ecol., 41, 471–485";"Snow_1972"
"28";"D21";"21_Costa_Rica";"Maglianesi et al. (2014) Ecology 95, 3325–3334";"Maglianesi_2014"
"29";"D21";"22_Costa_Rica";"Maglianesi et al. (2014) Ecology 95, 3325–3334";"Maglianesi_2014"
"30";"D21";"23_Costa_Rica";"Maglianesi et al. (2014) Ecology 95, 3325–3334";"Maglianesi_2014"
"31";"D21";"24_Costa_Rica";"Wolf et al. (1976) J. Anim. Ecol., 45, 349–379";"Wolf_1976"
"32";"D21";"25_Costa_Rica";"Wolf et al. (1976) J. Anim. Ecol., 45, 349–379";"Wolf_1976"
"33";"D21";"26_Colombia";"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139";"Snow_1980"
"34";"D21";"27_Colombia";"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139";"Snow_1980"
"35";"D21";"83_Colombia";"Own unpublished data";"D21_unpublished_data"
"36";"D21";"84_Colombia";"Own unpublished data";"D21_unpublished_data"
"37";"D21";"28_Colombia";"Own unpublished data";"D21_unpublished_data"
"38";"D21";"29_Colombia";"Snow & Snow (1980) Bull. Br. Mus. Nat. Hist. (Zool.), 38, 105–139";"Snow_1980"
"39";"D21";"30_Colombia";"Own unpublished data";"D21_unpublished_data"
"40";"D21";"31_Colombia";"Ramírez‐Burbano et al. (2017) Biotropica, 49, 555-564";"Ramírez_2017"
"41";"D21";"32_Colombia";"Ramírez‐Burbano et al. (2017) Biotropica, 49, 555-564";"Ramírez_2017"
"42";"D21";"33_Colombia";"Gutierres Aquiles EZ, Rojas-Nossa SV (2001) Dinámica anual de la interacción de colibrí-flor en ecosistemas altoandinos del volcán Galeras, sur de Colombia: Título de biología, Universidad Nacional de Colombia.";"Gutierres_2001"
"43";"D21";"81_Ecuador";"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310";"Graham_2018"
"44";"D21";"82_Ecuador";"Graham & Weinstein (2018) Ecol. Lett., 21, 1299–1310";"Graham_2018"
"45";"D21";"34_Colombia";"Lasprilla & Sazima M (2004) Ornit. Neotrop., 15, 183-190";"Lasprilla_2004"
"46";"D21";"35_Ecuador";"Walther & Brieschke (2001) Internal. J. Ornithol., 4, 115–135";"Walther_2001"
"47";"D21";"36_Ecuador";"Tinoco et al. (2017) Oikos, 126, 52–60.";"Tinoco_2017"
"48";"D21";"37_Ecuador";"Tinoco et al. (2017) Oikos, 126, 52–60.";"Tinoco_2017"
"49";"D21";"38_Ecuador";"Tinoco et al. (2017) Oikos, 126, 52–60.";"Tinoco_2017"
"50";"D21";"39_Colombia";"Cotton (1998) Ibis 140, 639–646.";"Cotton_1998"
"51";"D21";"77_Ecuador";"Sonne et al. (2019) Biotropica 51, 205–218";"Sonne_2019"
"52";"D21";"76_Ecuador";"Sonne et al. (2019) Biotropica 51, 205–218";"Sonne_2019"
"53";"D21";"75_Ecuador";"Sonne et al. (2019) Biotropica 51, 205–218";"Sonne_2019"
"54";"D21";"40_Brazil";"Las Casas et al. (2012) Braz. J. Biol., 72, 51–58.";"Las_2012"
"55";"D21";"78_Peru";"Gonzalez & Loiselle (2016) PeerJ, 4, e2789.";"Gonzalez_2016"
"56";"D21";"41_Brazil";"Own unpublished data";"D21_unpublished_data"
"57";"D21";"42_Peru";"Watts et al. (2016). Ann. Bot. 118, 415-429.";"Watts_2016"
"58";"D21";"43_Brazil";"Machado et al. (2007) Rev. Bras. Ornitol., 15, 215–227";"Machado_2007"
"59";"D21";"44_Brazil";"Machado (2009) Zoologia, 26, 55–65";"Machado_2009"
"60";"D21";"45_Brazil";"Machado (2014) Biosci. J., 30, 1578–1587.";"Machado_2014"
"61";"D21";"46_Peru";"Watts et al. (2016). Ann. Bot. 118, 415-429.";"Watts_2016"
"62";"D21";"47_Brazil";"Own unpublished data";"D21_unpublished_data"
"63";"D21";"48_Bolivia";"Abrahamczyk & Kessler (2010) J. Ornithol., 151, 615–625.";"Abrahamczyk_2010"
"64";"D21";"49_Bolivia";"Abrahamczyk & Kessler (2010) J. Ornithol., 151, 615–625.";"Abrahamczyk_2010"
"65";"D21";"50_Brazil";"Machado & Oliveira (2015) Rodriguésia, 66, 1-19.";"Machado_2015"
"66";"D21";"85_Brazil";"Own unpublished data";"D21_unpublished_data"
"67";"D21";"51_Brazil";"Araújo et al. (2011). Flora, 206, 827-835 / Maruyama et al. (2013) Naturwissenschaften, 100, 1061–1068.";"Araújo_2011"
