"";"network_db";"network_id";"reference";"citation";"doi"
"1";"mangal";"12";NA;"hocking1968";"10.2307/3565022"
"2";"mangal";"908";NA;"lundgren2005";"10.1657/1523-0430(2005)037[0514:TDAHCW]2.0.CO;2"
"3";"mangal";"909";NA;"elberling1999";"10.2307/3683041"
"4";"mangal";"947";NA;"richard f. johnston1956";NA
"5";"mangal";"1262";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"6";"mangal";"1261";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"7";"mangal";"1219";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"8";"mangal";"1237";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"9";"mangal";"1218";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"10";"mangal";"1235";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"11";"mangal";"1236";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"12";"mangal";"1221";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"13";"mangal";"1251";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"14";"mangal";"1252";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"15";"mangal";"1253";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"16";"mangal";"1250";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"17";"mangal";"1217";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"18";"mangal";"1256";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"19";"mangal";"1257";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"20";"mangal";"1220";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"21";"mangal";"1233";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"22";"mangal";"1234";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"23";"mangal";"1259";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"24";"mangal";"1248";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"25";"mangal";"1260";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"26";"mangal";"1225";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"27";"mangal";"1264";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"28";"mangal";"1265";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"29";"mangal";"1254";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"30";"mangal";"1255";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"31";"mangal";"1242";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"32";"mangal";"1243";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"33";"mangal";"1231";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"34";"mangal";"1232";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"35";"mangal";"1246";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"36";"mangal";"1247";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"37";"mangal";"1227";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"38";"mangal";"1249";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"39";"mangal";"1263";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"40";"mangal";"1238";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"41";"mangal";"1239";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"42";"mangal";"1230";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"43";"mangal";"1245";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"44";"mangal";"1222";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"45";"mangal";"1229";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"46";"mangal";"1244";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"47";"mangal";"1224";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"48";"mangal";"1228";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"49";"mangal";"1258";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"50";"mangal";"1226";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"51";"mangal";"1240";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"52";"mangal";"1223";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"53";"mangal";"1216";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"54";"mangal";"1241";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"55";"mangal";"80";NA;"w. m. kemp1977";NA
"56";"mangal";"81";NA;"m. bradstreet1982";"10.14430/arctic2303"
"57";"mangal";"82";NA;"bernard c. patten1979";"10.1016/b978-0-12-318750-5.50014-3"
"58";"mangal";"83";NA;"t. a. clarke1967";"10.1126/science.157.3795.1381"
"59";"mangal";"84";NA;"f. b. van es1977";"10.1007/BF02207842"
"60";"mangal";"85";NA;"g. e. macginitie1935";"10.2307/2420105"
"61";"mangal";"86";NA;"manuel j. zetina-rejon2003";"10.1016/s0272-7714(02)00410-9"
"62";"mangal";"87";NA;"v.h. cruz-escalona2007";"10.1016/j.ecss.2006.10.013"
"63";"mangal";"88";NA;"thomas m. lancraft1991";"10.1007/bf00240204"
"64";"mangal";"89";NA;"hsing-juh lin2006";"10.1016/j.marenvres.2006.03.003"
"65";"mangal";"930";NA;"walker o smith2006";"10.1098/rstb.2006.1956"
"66";"mangal";"91";NA;"maria angeles torres2013";"10.1016/j.ecolmodel.2013.05.019"
"67";"mangal";"92";NA;"peter yodzis1998";"10.1046/j.1365-2656.1998.00224.x"
"68";"mangal";"93";NA;"james n. kremer1978";"10.1007/978-3-642-66717-6"
"69";"mangal";"94";NA;"rosenthal, r. j.1974";NA
"70";"mangal";"95";NA;"charles h. peterson1979";"10.1007/bf00345993"
"71";"mangal";"96";NA;"e. gontikaki2011";"10.1016/j.pocean.2010.12.014"
"72";"mangal";"97";NA;"robert r. christian1999";"10.1016/s0304-3800(99)00022-8"
"73";"mangal";"98";NA;"robert w. hiatt1960";"10.2307/1942181"
"74";"mangal";"99";NA;"m. r. landry1977";"10.1007/bf02207821"
"75";"mangal";"100";NA;"n. a. mackintosh1967";NA
"76";"mangal";"101";NA;"s. z. qazim1970";NA
"77";"mangal";"102";NA;"g. a. knox1970";NA
"78";"mangal";"103";NA;"n. v. parin1970";NA
"79";"mangal";"1280";NA;"e. a. shushkina1979";NA
"80";"mangal";"889";NA;"k. hogetsu1979";NA
"81";"mangal";"890";NA;"m. a. hatanaka1977";NA
"82";"mangal";"1268";NA;"w. e. odum1975";NA
"83";"mangal";"893";NA;"ross m. thompson2004";"10.1111/j.1365-2656.2004.00899.x"
"84";"mangal";"1089";NA;"g. p. closs1994";"10.2307/2937053"
"85";"mangal";"1090";NA;"g. p. closs1994";"10.2307/2937053"
"86";"mangal";"1091";NA;"g. p. closs1994";"10.2307/2937053"
"87";"mangal";"1092";NA;"g. p. closs1994";"10.2307/2937053"
"88";"mangal";"1093";NA;"g. p. closs1994";"10.2307/2937053"
"89";"mangal";"1094";NA;"g. p. closs1994";"10.2307/2937053"
"90";"mangal";"1095";NA;"g. p. closs1994";"10.2307/2937053"
"91";"mangal";"1096";NA;"g. p. closs1994";"10.2307/2937053"
"92";"mangal";"1097";NA;"g. p. closs1994";"10.2307/2937053"
"93";"mangal";"1098";NA;"g. p. closs1994";"10.2307/2937053"
"94";"mangal";"1099";NA;"g. p. closs1994";"10.2307/2937053"
"95";"mangal";"1100";NA;"g. p. closs1994";"10.2307/2937053"
"96";"mangal";"907";NA;"t. s. petipa1970";NA
"97";"mangal";"906";NA;"t. s. petipa1970";NA
"98";"mangal";"943";NA;"h. milne1972";NA
"99";"mangal";"942";NA;"h. milne1972";NA
"100";"mangal";"1281";NA;"c. a. simenstad1978";"10.1126/science.200.4340.403"
"101";"mangal";"1282";NA;"c. a. simenstad1978";"10.1126/science.200.4340.403"
"102";"mangal";"927";NA;"yanez-arancibia, alejandro1978";NA
"103";"mangal";"926";NA;"yanez-arancibia, alejandro1978";NA
"104";"mangal";"1104";NA;"ralph w. dexter1947";"10.2307/1948658"
"105";"mangal";"1108";NA;"ralph w. dexter1947";"10.2307/1948658"
"106";"mangal";"1105";NA;"ralph w. dexter1947";"10.2307/1948658"
"107";"mangal";"1107";NA;"ralph w. dexter1947";"10.2307/1948658"
"108";"mangal";"1106";NA;"ralph w. dexter1947";"10.2307/1948658"
"109";"mangal";"918";NA;"rd brodeur1992";"10.3354/meps084101"
"110";"mangal";"920";NA;"rd brodeur1992";"10.3354/meps084101"
"111";"mangal";"921";NA;"rd brodeur1992";"10.3354/meps084101"
"112";"mangal";"919";NA;"rd brodeur1992";"10.3354/meps084101"
"113";"mangal";"922";NA;"l. saldanha1980";NA
"114";"mangal";"1021";NA;"m. j. dunbar1953";"10.14430/arctic3869"
"115";"mangal";"924";NA;"j. h. day1967";NA
"116";"mangal";"1102";NA;"c. bulman2001";"10.1071/mf99152"
"117";"mangal";"19";NA;"roberson1929";"10.5962/bhl.title.11538"
"118";"mangal";"13";NA;"witt1998";NA
"119";"mangal";"15";NA;"silva2002";"10.1079/9780851995250.0423"
"120";"mangal";"18";NA;"mosquin1967";NA
"121";"mangal";"23";NA;"kaehler2005";"10.1590/s0100-84042005000200003"
"122";"mangal";"946";NA;"elberlingNA";NA
"123";"mangal";"26";NA;"george m. woodwell1967";"10.1038/scientificamerican0367-24"
"124";"mangal";"27";NA;"barret1987";"10.1139/b87-278"
"125";"mangal";"28";NA;"b. j.1974";NA
"126";"mangal";"928";NA;"varassin2012";"10.1016/j.actao.2012.06.001"
"127";"mangal";"929";NA;"bezerra2009";"10.1111/j.1365-2656.2009.01567.x"
"128";"mangal";"931";NA;"frost1980";NA
"129";"mangal";"1486";NA;"paine1980";"10.2307/4220"
"130";"mangal";"1487";NA;"paine1980";"10.2307/4220"
"131";"mangal";"4230";NA;"kolpelke2017";"10.1002/ecy.1832"
"132";"mangal";"4231";NA;"kolpelke2017";"10.1002/ecy.1832"
"133";"mangal";"4232";NA;"kolpelke2017";"10.1002/ecy.1832"
"134";"mangal";"4233";NA;"kolpelke2017";"10.1002/ecy.1832"
"135";"mangal";"4234";NA;"kolpelke2017";"10.1002/ecy.1832"
"136";"mangal";"4235";NA;"kolpelke2017";"10.1002/ecy.1832"
"137";"mangal";"4236";NA;"kolpelke2017";"10.1002/ecy.1832"
"138";"mangal";"4237";NA;"kolpelke2017";"10.1002/ecy.1832"
"139";"mangal";"4238";NA;"kolpelke2017";"10.1002/ecy.1832"
"140";"mangal";"4239";NA;"kolpelke2017";"10.1002/ecy.1832"
"141";"mangal";"4240";NA;"kolpelke2017";"10.1002/ecy.1832"
"142";"mangal";"4241";NA;"kolpelke2017";"10.1002/ecy.1832"
"143";"mangal";"4242";NA;"kolpelke2017";"10.1002/ecy.1832"
"144";"mangal";"4243";NA;"kolpelke2017";"10.1002/ecy.1832"
"145";"mangal";"4244";NA;"kolpelke2017";"10.1002/ecy.1832"
"146";"mangal";"4245";NA;"kolpelke2017";"10.1002/ecy.1832"
"147";"mangal";"4246";NA;"kolpelke2017";"10.1002/ecy.1832"
"148";"mangal";"4247";NA;"kolpelke2017";"10.1002/ecy.1832"
"149";"mangal";"4248";NA;"kolpelke2017";"10.1002/ecy.1832"
"150";"mangal";"4249";NA;"kolpelke2017";"10.1002/ecy.1832"
"151";"mangal";"4250";NA;"kolpelke2017";"10.1002/ecy.1832"
"152";"mangal";"4251";NA;"kolpelke2017";"10.1002/ecy.1832"
"153";"mangal";"4252";NA;"kolpelke2017";"10.1002/ecy.1832"
"154";"mangal";"4253";NA;"kolpelke2017";"10.1002/ecy.1832"
"155";"mangal";"4254";NA;"kolpelke2017";"10.1002/ecy.1832"
"156";"mangal";"4255";NA;"kolpelke2017";"10.1002/ecy.1832"
"157";"mangal";"4256";NA;"kolpelke2017";"10.1002/ecy.1832"
"158";"mangal";"4257";NA;"kolpelke2017";"10.1002/ecy.1832"
"159";"mangal";"4258";NA;"kolpelke2017";"10.1002/ecy.1832"
"160";"mangal";"4259";NA;"kolpelke2017";"10.1002/ecy.1832"
"161";"mangal";"4260";NA;"kolpelke2017";"10.1002/ecy.1832"
"162";"mangal";"4261";NA;"kolpelke2017";"10.1002/ecy.1832"
"163";"mangal";"4262";NA;"kolpelke2017";"10.1002/ecy.1832"
"164";"mangal";"4263";NA;"kolpelke2017";"10.1002/ecy.1832"
"165";"mangal";"4264";NA;"kolpelke2017";"10.1002/ecy.1832"
"166";"mangal";"4265";NA;"kolpelke2017";"10.1002/ecy.1832"
"167";"mangal";"4266";NA;"kolpelke2017";"10.1002/ecy.1832"
"168";"mangal";"4267";NA;"kolpelke2017";"10.1002/ecy.1832"
