"";"network_db";"network_id";"reference";"citation"
"1";"TI22";"adaime2017_A";NA;"adaime2017_A"
"2";"TI22";"adaime2017_B";NA;"adaime2017_B"
"3";"TI22";"Aldryhim1985";NA;"Aldryhim1985"
"4";"TI22";"basset1996";NA;"basset1996"
"5";"TI22";"bergamini2016";NA;"bergamini2016"
"6";"TI22";"bluthgen2006";NA;"bluthgen2006"
"7";"TI22";"bodner2009";NA;"bodner2009"
"8";"TI22";"Brehm2003";NA;"Brehm2003"
"9";"TI22";"Brown2019";NA;"Brown2019"
"10";"TI22";"coley2006";NA;"coley2006"
"11";"TI22";"cuevas-reyes";NA;"cuevas-reyes"
"12";"TI22";"dyer&gentry2002";NA;"dyer&gentry2002"
"13";"TI22";"garcia&robledo2013";NA;"garcia&robledo2013"
"14";"TI22";"Hackett2019_HH";NA;"Hackett2019_HH"
"15";"TI22";"Hackett2019_TP";NA;"Hackett2019_TP"
"16";"TI22";"heleno2009";NA;"heleno2009"
"17";"TI22";"hemidi2013";NA;"hemidi2013"
"18";"TI22";"henneman&memmott1";NA;"henneman&memmott1"
"19";"TI22";"henneman&memmott2";NA;"henneman&memmott2"
"20";"TI22";"Ibanez2013";NA;"Ibanez2013"
"21";"TI22";"Idechil2007";NA;"Idechil2007"
"22";"TI22";"janzen1980";NA;"janzen1980"
"23";"TI22";"janzen2003";NA;"janzen2003"
"24";"TI22";"joern_altuda";NA;"joern_altuda"
"25";"TI22";"joern_marathon";NA;"joern_marathon"
"26";"TI22";"Joern1985";NA;"Joern1985"
"27";"TI22";"kim&choi2021_A";NA;"kim&choi2021_A"
"28";"TI22";"kim&choi2021_B";NA;"kim&choi2021_B"
"29";"TI22";"Knuff2019";NA;"Knuff2019"
"30";"TI22";"kollars2013";NA;"kollars2013"
"31";"TI22";"Konig2022";NA;"Konig2022"
"32";"TI22";"lewis2002";NA;"lewis2002"
"33";"TI22";"Macfadyen_A1";NA;"Macfadyen_A1"
"34";"TI22";"Macfadyen_A10";NA;"Macfadyen_A10"
"35";"TI22";"Macfadyen_A2";NA;"Macfadyen_A2"
"36";"TI22";"Macfadyen_A3";NA;"Macfadyen_A3"
"37";"TI22";"Macfadyen_A4";NA;"Macfadyen_A4"
"38";"TI22";"Macfadyen_A5";NA;"Macfadyen_A5"
"39";"TI22";"Macfadyen_A6";NA;"Macfadyen_A6"
"40";"TI22";"Macfadyen_A7";NA;"Macfadyen_A7"
