"network_db";"original_id";"reference";"citation";"doi";"study_common"
"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ";NA;"Cattin Blandenier (2004)";NA;"Cattin Blandenier (2004)"
"gateway";"Ythan Estuary";NA;"Cohen et al. (2009)";NA;"Cohen et al. (2009)"
"gateway";"AEW01";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW02";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW03";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW04";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW05";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW06";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW07";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW08";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW09";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW11";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW17";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW18";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW25";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW27";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW30";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"AEW49";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW01";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW02";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW03";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW04";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW05";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW06";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW10";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW11";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW12";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW13";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
