"";"network_db";"network_id";"reference";"citation"
"1";"WOL";"M_PL_027";"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.";"Primack 1983"
"2";"WOL";"M_PL_021";"Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375.";"Kato et al 1990"
"3";"WOL";"M_PL_017";"Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.";"Memmott 1999"
"4";"WOL";"M_PL_032";"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.";"Schemske et al 1978"
"5";"WOL";"M_SD_003";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003"
"6";"WOL";"M_SD_015";"Kantak, G.E. 1979. Observations on some fruit-eating birds in Mexico. Auk, 96: 183-186.";"Kantak 1979"
"7";"WOL";"M_PL_031";"Ramirez, N. (1989). Biología de polinización en una comunidad arbustiva tropical de la alta Guyana Venezolana. Biotropica 21, 319-330.";"Ramirez 1989"
"8";"WOL";"M_PL_028";"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.";"Primack 1983"
"9";"WOL";"M_PL_004";"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.";"Barrett & Helenurm 1987"
"10";"WOL";"M_PL_034";"Smith-Ramírez C., P. Martinez, M. Nuñez, C. González and J. J. Armesto (2005) Diversity, flower visitation frequency and generalism of pollinators in temperate rain forests of Chiloé Island,Chile. Botanical Journal of the Linnean Society, 2005, 147, 399–416.";"Smith-Ramírez et al 2005"
"11";"WOL";"M_SD_004";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003"
"12";"WOL";"M_SD_005";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003"
"13";"WOL";"M_PL_001";"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.";"Arroyo et al 1982"
