study_orig;study_common
Cattin Blandenier (2004);Cattin Blandenier (2004)
Cohen et al. (2009);Cohen et al. (2009)
Digel et al. (2014);Digel et al. (2014)
Abrahamczyk_2010;Abrahamczyk_2010
Abreu;Abreu
Abreu & Vieira 2004;Abreu_2004
Abreu_2004;Abreu_2004
Acosta_2019;Acosta_2019
adaime2017_A;adaime2017_A
adaime2017_B;adaime2017_B
Adedoja et al 2018;Adedoja et al 2018
Adedoja et al 2018;Adedoja et al 2018
Adedoja et al 2018;Adedoja et al 2018
Adedoja et al 2018;Adedoja et al 2018
Adedoja et al 2019;Adedoja et al 2019
Aguiar 2003;Aguiar 2003
Aguiar 2007;Aguiar_2007
Aguiar_2007;Aguiar_2007
Aguilar-Garavito 2014;Aguilar-Garavito 2014
Aguilar-Garavito_2014_mature;Aguilar-Garavito 2014
Aizen_2002;Aizen_2002
Alarcón_2008;Alarcón_2008
Albrecht 2013;Albrecht 2013
Albrecht et al 2010;Albrecht et al 2010
Albrecht et al 2010;Albrecht et al 2010
Albrecht et al 2010;Albrecht et al 2010
Albrecht et al 2010;Albrecht et al 2010
Albrecht et al 2010;Albrecht et al 2010
Albrecht_102_2012;Albrecht_2012
Albrecht_11_2012;Albrecht_2012
Albrecht_111_2011;Albrecht_2012
Albrecht_111_2012;Albrecht_2012
Albrecht_112_2011;Albrecht_2012
Albrecht_112_2012;Albrecht_2012
Albrecht_13_2012;Albrecht_2012
Albrecht_15_2012;Albrecht_2012
Albrecht_203_2012;Albrecht_2012
Albrecht_30_2012;Albrecht_2012
Albrecht_301_2012;Albrecht_2012
Albrecht_314_2012;Albrecht_2012
Albrecht_315_2011;Albrecht_2012
Albrecht_315_2012;Albrecht_2012
Albrecht_35_2012;Albrecht_2012
Albrecht_36_2012;Albrecht_2012
alcorlo2001;alcorlo2001
Aldryhim1985;Aldryhim1985
alexandra baeta2011;alexandra baeta2011
allan1982;allan1982
Alves_2008;Alves_2008
ALVES_2013;ALVES_2013
Amela_1997;Amela_1997
Andena et al 2005;Andena et al 2005
Andrade 2011;Andrade_2011
Andrade_2011;Andrade_2011
Andrade_2011;Andrade_2011
Angelini & Agostinho 2005 ;Angelini & Agostinho 2005 
Angelini & Velho 2011;Angelini & Velho 2011
Angelini et all 1011;Angelini_2011
Angelini et all 2006;Angelini et all 2006
Angelini et all 2013;Angelini et all 2013
angelini2005;angelini2005
angelini2006;Angelini et all 2006
angelini2010;angelini2010
angelini2013;Angelini et all 2013
Aoki_2012;Aoki_2012
Aona_2006;Aona_2006
Arai_mcgregor;Arai_mcgregor
Arai_parsnip;Arai_parsnip
Araujo_2003;Araujo_2003
Araújo_2011;Araújo_2011
Araújo_2013;Araújo_2013
Argel_1999;Argel_1999
Arias-Arone 2016;Arias-Arone 2016
Arias-Arone_2016;Arias-Arone 2016
Aribal 2016;Aribal 2016
Arizmendi;Arizmendi & Ornelas 1999
Arizmendi & Ornelas 1999;Arizmendi & Ornelas 1999
Arizmendi_1990;Arizmendi_1990
Armesto 1987;Armesto 1987
Aroca 2016;Aroca 2016
Arroyo et al 1982;Arroyo et al 1982
arroyo1982;Arroyo et al 1982
Arroyo1982-1;Arroyo et al 1982
Arroyo1982-2;Arroyo et al 1982
Arroyo1982-3;Arroyo et al 1982
arroyo3;Arroyo et al 1982
Arthur1976;Arthur1976
askew1975;askew1975
Athie 2009;Athie_2009
Athie_2009;Athie_2009
Athiê_2009;Athie_2009
Auko_2012;Auko_2012
B. Dalsgaard et al. 2021;Dalsgaard et al. 2021
b. j.1974;b. j.1974
badcock1949;badcock1949
Baeta et all 2011;Baeta et all 2011
Baird 1980;Baird_1980
Baird_1980;Baird_1980
baird1980;Baird_1980
Baird1980;Baird_1980
Balasubramanian 1996;Balasubramanian_1996
Balasubramanian_1996;Balasubramanian_1996
Baldock et al 2011;Baldock et al 2011
Baldock et al 2019;Baldock et al 2019
Bandeira_2020;Bandeira_2020
Bangham1955;Bangham1955
Barbosa_2013;Barbosa_2013
barret1987;Barrett1987
Barrett & Helenurm 1987;Barrett1987
Barrett1987;Barrett1987
Bartomeus;bartomeus2008
Bartomeus et al 2008;bartomeus2008
bartomeus2008;bartomeus2008
basset1996;Basset1996
Basset1996;Basset1996
Bastazini 2018;Bastazini_2018
Bastazini_2018;Bastazini_2018
Bastos_2006;Bastos_2006
beaver1985;beaver1985
Beehler 1983;Beehler1983
Beehler1983;Beehler1983
Bek 2006;Bek 2006
Belay10;Belay
Belay13;Belay
