"";"network_db";"network_id";"reference";"citation";"doi"
"1";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1";NA;"Cattin Blandenier (2004)";NA
"2";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2";NA;"Cattin Blandenier (2004)";NA
"3";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1";NA;"Cattin Blandenier (2004)";NA
"4";"gateway";"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2";NA;"Cattin Blandenier (2004)";NA
"5";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ";NA;"Cattin Blandenier (2004)";NA
"6";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ";NA;"Cattin Blandenier (2004)";NA
"7";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ";NA;"Cattin Blandenier (2004)";NA
"8";"gateway";"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ";NA;"Cattin Blandenier (2004)";NA
"9";"gateway";"Ythan Estuary";NA;"Cohen et al. (2009)";NA
"10";"gateway";"AEW01";NA;"Digel et al. (2014)";NA
"11";"gateway";"AEW02";NA;"Digel et al. (2014)";NA
"12";"gateway";"AEW03";NA;"Digel et al. (2014)";NA
"13";"gateway";"AEW04";NA;"Digel et al. (2014)";NA
"14";"gateway";"AEW05";NA;"Digel et al. (2014)";NA
"15";"gateway";"AEW06";NA;"Digel et al. (2014)";NA
"16";"gateway";"AEW07";NA;"Digel et al. (2014)";NA
"17";"gateway";"AEW08";NA;"Digel et al. (2014)";NA
"18";"gateway";"AEW09";NA;"Digel et al. (2014)";NA
"19";"gateway";"AEW11";NA;"Digel et al. (2014)";NA
"20";"gateway";"AEW17";NA;"Digel et al. (2014)";NA
"21";"gateway";"AEW18";NA;"Digel et al. (2014)";NA
"22";"gateway";"AEW25";NA;"Digel et al. (2014)";NA
"23";"gateway";"AEW27";NA;"Digel et al. (2014)";NA
"24";"gateway";"AEW30";NA;"Digel et al. (2014)";NA
"25";"gateway";"AEW49";NA;"Digel et al. (2014)";NA
"26";"gateway";"HEW01";NA;"Digel et al. (2014)";NA
"27";"gateway";"HEW02";NA;"Digel et al. (2014)";NA
"28";"gateway";"HEW03";NA;"Digel et al. (2014)";NA
"29";"gateway";"HEW04";NA;"Digel et al. (2014)";NA
"30";"gateway";"HEW05";NA;"Digel et al. (2014)";NA
"31";"gateway";"HEW06";NA;"Digel et al. (2014)";NA
"32";"gateway";"HEW10";NA;"Digel et al. (2014)";NA
"33";"gateway";"HEW11";NA;"Digel et al. (2014)";NA
"34";"gateway";"HEW12";NA;"Digel et al. (2014)";NA
"35";"gateway";"HEW13";NA;"Digel et al. (2014)";NA
"36";"gateway";"HEW16";NA;"Digel et al. (2014)";NA
"37";"gateway";"HEW17";NA;"Digel et al. (2014)";NA
"38";"gateway";"HEW21";NA;"Digel et al. (2014)";NA
"39";"gateway";"HEW22";NA;"Digel et al. (2014)";NA
"40";"gateway";"HEW36";NA;"Digel et al. (2014)";NA
"41";"gateway";"HEW47";NA;"Digel et al. (2014)";NA
"42";"gateway";"SEW01";NA;"Digel et al. (2014)";NA
"43";"gateway";"SEW02";NA;"Digel et al. (2014)";NA
"44";"gateway";"SEW03";NA;"Digel et al. (2014)";NA
"45";"gateway";"SEW04";NA;"Digel et al. (2014)";NA
"46";"gateway";"SEW05";NA;"Digel et al. (2014)";NA
"47";"gateway";"SEW06";NA;"Digel et al. (2014)";NA
"48";"gateway";"SEW07";NA;"Digel et al. (2014)";NA
"49";"gateway";"SEW08";NA;"Digel et al. (2014)";NA
"50";"gateway";"SEW09";NA;"Digel et al. (2014)";NA
"51";"gateway";"SEW18";NA;"Digel et al. (2014)";NA
"52";"gateway";"SEW35";NA;"Digel et al. (2014)";NA
"53";"gateway";"SEW36";NA;"Digel et al. (2014)";NA
"54";"gateway";"SEW37";NA;"Digel et al. (2014)";NA
"55";"gateway";"SEW41";NA;"Digel et al. (2014)";NA
"56";"gateway";"SEW43";NA;"Digel et al. (2014)";NA
"57";"gateway";"SEW48";NA;"Digel et al. (2014)";NA
"58";"gateway";"Kongsfjorden";NA;"Ekloef et al. (2013)";NA
"59";"gateway";"Alford lake";NA;"Sutherland (1989), Havens (1992)";NA
"60";"gateway";"Balsam lake";NA;"Sutherland (1989), Havens (1992)";NA
"61";"gateway";"Beaver lake";NA;"Sutherland (1989), Havens (1992)";NA
"62";"gateway";"Big hope lake";NA;"Sutherland (1989), Havens (1992)";NA
"63";"gateway";"Brandy lake";NA;"Sutherland (1989), Havens (1992)";NA
"64";"gateway";"Bridge brook lake";NA;"Sutherland (1989), Havens (1992)";NA
