"";"network_db";"network_id";"reference";"citation"
"1";"B22";"A_HP_Arai_mcgregor";NA;"Arai_mcgregor"
"2";"B22";"A_HP_Arai_parsnip";NA;"Arai_parsnip"
"3";"B22";"A_HP_Arthur1976";NA;"Arthur1976"
"4";"B22";"A_HP_Bangham1955";NA;"Bangham1955"
"5";"B22";"A_HP_Belay10";NA;"Belay10"
"6";"B22";"A_HP_Belay13";NA;"Belay13"
"7";"B22";"A_HP_Belay14";NA;"Belay14"
"8";"B22";"A_HP_Belay15";NA;"Belay15"
"9";"B22";"A_HP_Belay2";NA;"Belay2"
"10";"B22";"A_HP_Belay23";NA;"Belay23"
"11";"B22";"A_HP_Belay25";NA;"Belay25"
"12";"B22";"A_HP_Belay26";NA;"Belay26"
"13";"B22";"A_HP_Belay27";NA;"Belay27"
"14";"B22";"A_HP_Belay30";NA;"Belay30"
"15";"B22";"A_HP_Carvalheiro2008";NA;"Carvalheiro2008"
"16";"B22";"A_HP_Chinniah1978";NA;"Chinniah1978"
"17";"B22";"A_HP_daGraca";NA;"daGraca"
"18";"B22";"A_HP_Dechtiar1972";NA;"Dechtiar1972"
"19";"B22";"A_HP_Font";NA;"Font"
"20";"B22";"A_HP_Hadfield_2013_001";NA;"Hadfield_2013_001"
"21";"B22";"A_HP_Hadfield_2013_002";NA;"Hadfield_2013_002"
"22";"B22";"A_HP_Hadfield_2013_003";NA;"Hadfield_2013_003"
"23";"B22";"A_HP_Hadfield_2013_004";NA;"Hadfield_2013_004"
"24";"B22";"A_HP_Hadfield_2013_005";NA;"Hadfield_2013_005"
"25";"B22";"A_HP_Hadfield_2013_006";NA;"Hadfield_2013_006"
"26";"B22";"A_HP_Hadfield_2013_007";NA;"Hadfield_2013_007"
"27";"B22";"A_HP_Hadfield_2013_008";NA;"Hadfield_2013_008"
"28";"B22";"A_HP_Hadfield_2013_009";NA;"Hadfield_2013_009"
"29";"B22";"A_HP_Hadfield_2013_010";NA;"Hadfield_2013_010"
"30";"B22";"A_HP_Hadfield_2013_012";NA;"Hadfield_2013_012"
"31";"B22";"A_HP_Hadfield_2013_013";NA;"Hadfield_2013_013"
"32";"B22";"A_HP_Hadfield_2013_014";NA;"Hadfield_2013_014"
"33";"B22";"A_HP_Hadfield_2013_016";NA;"Hadfield_2013_016"
"34";"B22";"A_HP_Hadfield_2013_017";NA;"Hadfield_2013_017"
"35";"B22";"A_HP_Hadfield_2013_018";NA;"Hadfield_2013_018"
"36";"B22";"A_HP_Hadfield_2013_019";NA;"Hadfield_2013_019"
"37";"B22";"A_HP_Hadfield_2013_020";NA;"Hadfield_2013_020"
"38";"B22";"A_HP_Hadfield_2013_021";NA;"Hadfield_2013_021"
"39";"B22";"A_HP_Hadfield_2013_022";NA;"Hadfield_2013_022"
"40";"B22";"A_HP_Hadfield_2013_023";NA;"Hadfield_2013_023"
"41";"B22";"A_HP_Hadfield_2013_024";NA;"Hadfield_2013_024"
"42";"B22";"A_HP_Hadfield_2013_025";NA;"Hadfield_2013_025"
"43";"B22";"A_HP_Hadfield_2013_026";NA;"Hadfield_2013_026"
"44";"B22";"A_HP_Hadfield_2013_027";NA;"Hadfield_2013_027"
"45";"B22";"A_HP_Hadfield_2013_029";NA;"Hadfield_2013_029"
"46";"B22";"A_HP_Hadfield_2013_030";NA;"Hadfield_2013_030"
"47";"B22";"A_HP_Hadfield_2013_031";NA;"Hadfield_2013_031"
"48";"B22";"A_HP_Hadfield_2013_032";NA;"Hadfield_2013_032"
"49";"B22";"A_HP_Hadfield_2013_033";NA;"Hadfield_2013_033"
"50";"B22";"A_HP_Hadfield_2013_034";NA;"Hadfield_2013_034"
"51";"B22";"A_HP_Hadfield_2013_035";NA;"Hadfield_2013_035"
"52";"B22";"A_HP_Hadfield_2013_036";NA;"Hadfield_2013_036"
"53";"B22";"A_HP_Hadfield_2013_037";NA;"Hadfield_2013_037"
"54";"B22";"A_HP_Hadfield_2013_038";NA;"Hadfield_2013_038"
"55";"B22";"A_HP_Hadfield_2013_039";NA;"Hadfield_2013_039"
"56";"B22";"A_HP_Hadfield_2013_040";NA;"Hadfield_2013_040"
"57";"B22";"A_HP_Hadfield_2013_041";NA;"Hadfield_2013_041"
"58";"B22";"A_HP_Hadfield_2013_042";NA;"Hadfield_2013_042"
"59";"B22";"A_HP_Hadfield_2013_043";NA;"Hadfield_2013_043"
"60";"B22";"A_HP_Hadfield_2013_044";NA;"Hadfield_2013_044"
"61";"B22";"A_HP_Hadfield_2013_045";NA;"Hadfield_2013_045"
"62";"B22";"A_HP_Hadfield_2013_046";NA;"Hadfield_2013_046"
"63";"B22";"A_HP_Hadfield_2013_047";NA;"Hadfield_2013_047"
"64";"B22";"A_HP_Hadfield_2013_048";NA;"Hadfield_2013_048"
"65";"B22";"A_HP_Hadfield_2013_049";NA;"Hadfield_2013_049"
"66";"B22";"A_HP_Hadfield_2013_050";NA;"Hadfield_2013_050"
"67";"B22";"A_HP_Hadfield_2013_051";NA;"Hadfield_2013_051"
"68";"B22";"A_HP_Lecorff2000";NA;"Lecorff2000"
"69";"B22";"A_HP_Leong1981";NA;"Leong1981"
