"";"network_db";"network_id";"reference";"citation"
"1";"M22";"net_001";"Baird, J. W. The selection and use of fruit by birds in an eastern forest. Wilson Bull. 92, 63–73 (1980).";"Baird_1980"
"2";"M22";"net_002";"Carlo, T. A., Collazo, J. A. & Groom, M. J. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134, 119–131 (2003).";"Carlo_2003"
"3";"M22";"net_003";"Carlo, T. A., Collazo, J. A. & Groom, M. J. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134, 119–131 (2003).";"Carlo_2003"
"4";"M22";"net_004";"Carlo, T. A., Collazo, J. A. & Groom, M. J. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134, 119–131 (2003).";"Carlo_2003"
"5";"M22";"net_005";"Carlo, T. A., Collazo, J. A. & Groom, M. J. Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134, 119–131 (2003).";"Carlo_2003"
"6";"M22";"net_006";"Frost, P. G. H. Fruit-frugivore interactions in a South African coastal dune forest. Acta XVII Congressus Internationalis Ornithologici 2, 1179–1184 (1980).";"Frost_1980"
"7";"M22";"net_007";"Galetti, M. & Pizo, M. A. Fruit eating by birds in a forest fragment in southeastern Brazil. Ararajuba 4, 71–79 (1996).";"Galetti_1996"
"8";"M22";"net_008";"Galetti, M. & Pizo, M. A. Fruit eating by birds in a forest fragment in southeastern Brazil. Ararajuba 4, 71–79 (1996).";"Galetti_1996"
"9";"M22";"net_009";"Kantak, G. E. Observations on some fruit-eating birds in Mexico. Auk 96, 183–186 (1979).";"Kantak_1979"
"10";"M22";"net_010";"Sorensen, A. E. Interactions between birds and fruit in a temperate woodland. Oecologia 50, 242–249 (1981).";"Sorensen_1981"
"11";"M22";"net_011";"W. R. Silva, Patterns of Fruit-frugivores Interactions in two Atlantic Forest Bird Communities of South-eastern Brazil: Implications for Conservation in Seed Dispersal and Frugivory: Ecology, Evolution, and Conservation (eds. Levey, D. J., Silva, W. R., Galetti, M.) 423–435 (CAB International, 2002).";"M22_net_011"
"12";"M22";"net_012";"Rodrigues, S. L. M. Rede de Interações entre aves frugívoras e plantas em uma área de Mata Atlântica no Sudeste do Brasil, thesis, Universidade Federal de São Carlos, Sorocaba, SP (2015).";"Rodrigues_2015"
"13";"M22";"net_013";"Castro, E. R. Fenologia reprodutiva do palmito Euterpe edulis (Arecaceae) e sua influência na abundância de aves frugívoras na floresta Atlântica, thesis, UNESP, Rio Claro, SP (2007).";"Castro_2007"
"14";"M22";"net_014";"Correia, J. M. S. Utilização de espécies frutíferas da Mata Atlântica na alimentação da avifauna da Reserva Biológica de Poços das Antas, thesis, UNDB, Brasília, DF (1997).";"Correia_1997"
"15";"M22";"net_015";"Alves, K. J. F. Composição da avifauna e frugivoria por aves em um mosaico sucessional na Mata Atlântica, thesis, UNESP, Rio Claro, SP (2008).";"Alves_2008"
"16";"M22";"net_016";"Fadini, R. F.& de Marco Jr, P. Interações entre aves frugívoras e plantas em um fragmento de mata atlântica de Minas Gerais. Ararajuba 12, 97–103 (2004).";"Fadini_2004"
"17";"M22";"net_017";"Kindel, A. Interações entre plantas ornitocóricas e aves frugívoras na Estação Ecológica de Aracuri, Muitos Capões, RS, thesis, UFRGS, Porto Alegre, RS (1996).";"Kindel_1996"
"18";"M22";"net_018";"Pizo, M. A. Frugivory and habitat use by fruit-eating birds in a fragmented landscape of southeast Brazil. Ornitol. Neotrop. 15, 117–126 (2004).";"Pizo_2004"
