"";"D21_node_1150";"D21_node_68";"D21_node_1046";"D21_node_1329";"D21_node_507";"D21_node_76";"D21_node_502";"D21_node_1047";"D21_node_557";"D21_node_797";"D21_node_682"
"D21_node_17";1;0;0;0;0;0;1;0;0;0;0
"D21_node_22";0;1;0;0;0;0;0;0;0;0;0
"D21_node_28";0;1;1;0;0;0;0;0;0;0;0
"D21_node_32";0;0;0;1;0;0;0;0;0;0;0
"D21_node_151";0;1;0;0;1;0;0;0;0;1;0
"D21_node_161";0;0;0;0;0;1;0;1;1;1;0
"D21_node_184";0;1;0;0;0;0;1;0;0;0;0
"D21_node_937";0;0;0;0;1;1;0;1;1;0;0
"D21_node_273";0;1;1;1;0;0;0;0;1;0;0
"D21_node_413";0;0;0;0;1;0;0;0;0;1;1
"D21_node_476";0;0;1;0;1;0;1;0;0;1;1
"D21_node_491";0;0;0;0;1;1;0;0;1;0;0
"D21_node_614";1;1;0;0;0;0;0;0;0;0;0
"D21_node_692";0;0;0;0;1;1;0;0;0;0;0
"D21_node_704";1;1;0;1;0;1;0;1;0;0;0
"D21_node_898";0;0;1;1;0;0;0;0;0;1;0
"D21_node_907";0;0;0;1;0;0;0;1;0;0;1
"D21_node_908";1;0;0;0;1;0;1;1;0;1;0
"D21_node_928";0;1;1;0;0;0;0;1;0;0;0
"D21_node_930";0;0;0;0;0;0;1;0;0;1;1
"D21_node_1111";1;0;1;1;0;0;0;1;0;0;0
"D21_node_1126";0;1;0;0;1;0;0;0;0;0;0
"D21_node_1186";0;1;0;0;0;0;0;0;1;0;0
"D21_node_1230";1;0;0;0;1;0;0;0;0;0;0
"D21_node_1281";0;1;0;0;0;0;0;0;1;0;0
"D21_node_1346";0;0;0;0;0;0;0;0;0;1;0
"D21_node_1405";0;1;0;1;0;0;1;0;0;0;0
"D21_node_1417";0;0;0;1;1;1;0;0;0;0;1
