"";"mangal_node_0090";"mangal_node_3414";"mangal_node_3379";"mangal_node_3375";"mangal_node_3354";"mangal_node_3384";"mangal_node_3341";"mangal_node_3357";"mangal_node_3362";"mangal_node_3349";"mangal_node_3437";"mangal_node_3356";"mangal_node_3308";"mangal_node_3509";"mangal_node_3571";"mangal_node_3527";"mangal_node_3500";"mangal_node_3378";"mangal_node_3318";"mangal_node_3551";"mangal_node_3372";"mangal_node_3546";"mangal_node_3550";"mangal_node_3402";"mangal_node_3363";"mangal_node_3502";"mangal_node_3361";"mangal_node_3557";"mangal_node_3373"
"mangal_node_3420";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3324";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_3323";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_3548";0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"mangal_node_3300";0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_3334";0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
"mangal_node_3336";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"mangal_node_3327";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0
"mangal_node_3495";1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3335";0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_3333";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0
"mangal_node_3407";1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_3570";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1
"mangal_node_3369";0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3506";0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
