"";"M22_node_563";"M22_node_1886";"M22_node_2326";"M22_node_235";"M22_node_581";"M22_node_607";"M22_node_2055";"M22_node_1585";"M22_node_250";"M22_node_702";"M22_node_1436";"M22_node_2068";"M22_node_1429";"M22_node_1440";"M22_node_1373";"M22_node_2455";"M22_node_2189";"M22_node_2190";"M22_node_2472";"M22_node_784";"M22_node_465";"M22_node_1502";"M22_node_1765";"M22_node_1980";"M22_node_2272";"M22_node_2275";"M22_node_2281";"M22_node_1224";"M22_node_1781";"M22_node_2418";"M22_node_332";"M22_node_1854";"M22_node_2383";"M22_node_2380";"M22_node_972";"M22_node_1734";"M22_node_320";"M22_node_2391";"M22_node_2255";"M22_node_529";"M22_node_777";"M22_node_2385"
"M22_node_440";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"M22_node_2432";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"M22_node_575";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1
"M22_node_826";0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
"M22_node_929";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0
"M22_node_1105";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
"M22_node_1447";0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0
"M22_node_1476";0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"M22_node_1662";1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
"M22_node_1709";0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0
"M22_node_1857";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"M22_node_2089";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_2177";0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
