"";"P22_node_5544";"P22_node_13071";"P22_node_6964";"P22_node_6966";"P22_node_5802";"P22_node_5859";"P22_node_9162";"P22_node_6767";"P22_node_9127";"P22_node_5354";"P22_node_8783";"P22_node_8999";"P22_node_12033";"P22_node_9126";"P22_node_13004";"P22_node_12218";"P22_node_13072";"P22_node_8908";"P22_node_5198"
"P22_node_3352";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3347";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1358";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_628";1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
"P22_node_609";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1341";1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"P22_node_3353";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_614";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"P22_node_3354";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3313";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
"P22_node_3355";0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"P22_node_1380";0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1710";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
"P22_node_1749";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1331";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_3356";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
