"";"mangal_node_3364";"mangal_node_0090";"mangal_node_3374";"mangal_node_3378";"mangal_node_3384";"mangal_node_3414";"mangal_node_3318";"mangal_node_3400";"mangal_node_3349";"mangal_node_3421";"mangal_node_3422";"mangal_node_3399";"mangal_node_3311";"mangal_node_3375";"mangal_node_3423";"mangal_node_3413"
"mangal_node_3294";1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
"mangal_node_3415";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_3416";1;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0
"mangal_node_3417";1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3418";0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0
"mangal_node_3327";0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
"mangal_node_3335";0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
"mangal_node_3411";0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0
"mangal_node_3298";0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3390";1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0
"mangal_node_3328";0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0
"mangal_node_3419";0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0
"mangal_node_3408";0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"mangal_node_3334";1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"mangal_node_3420";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_3410";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
