"";"TI_HERB_2400";"TI_HERB_2380";"TI_HERB_2381";"TI_HERB_2382";"TI_HERB_2401";"TI_HERB_2385";"TI_HERB_2402";"TI_HERB_2386";"TI_HERB_2389";"TI_HERB_2391";"TI_HERB_2394";"TI_HERB_2396";"TI_HERB_2397"
"TI_PLANT_31";1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_712";0;1;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2539";0;0;1;0;0;0;0;1;0;1;0;0;0
"TI_PLANT_2540";0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_2541";0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2542";0;1;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_2548";0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_2543";0;1;0;0;0;0;0;1;0;1;0;0;0
"TI_PLANT_2544";0;0;0;0;0;0;0;0;1;0;0;1;0
"TI_PLANT_146";0;0;0;0;0;0;0;0;1;1;0;0;0
"TI_PLANT_2481";0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_2549";0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_2547";0;1;0;0;0;1;0;0;0;1;0;0;1
