"";"P22_node_14950";"P22_node_14951";"P22_node_14952";"P22_node_14953";"P22_node_5354";"P22_node_14954";"P22_node_14955";"P22_node_13165";"P22_node_10915";"P22_node_14956";"P22_node_10918";"P22_node_14356";"P22_node_13834";"P22_node_14355";"P22_node_10906";"P22_node_10907";"P22_node_14957";"P22_node_11475";"P22_node_10970";"P22_node_10910";"P22_node_14958";"P22_node_14959";"P22_node_14960";"P22_node_14961";"P22_node_7091";"P22_node_14962";"P22_node_14963";"P22_node_14111";"P22_node_14964";"P22_node_14965";"P22_node_14966";"P22_node_13478";"P22_node_14967";"P22_node_14968";"P22_node_5930";"P22_node_14353";"P22_node_14969";"P22_node_14970";"P22_node_10917";"P22_node_13867";"P22_node_14971";"P22_node_14972";"P22_node_14973";"P22_node_14974";"P22_node_14975";"P22_node_14976";"P22_node_14977";"P22_node_14978";"P22_node_14979";"P22_node_14980";"P22_node_14981";"P22_node_14982";"P22_node_14983";"P22_node_14984";"P22_node_14985";"P22_node_14986";"P22_node_14987";"P22_node_14988";"P22_node_14989";"P22_node_14990";"P22_node_14991";"P22_node_14992";"P22_node_14993";"P22_node_14994";"P22_node_14408";"P22_node_7099";"P22_node_10746";"P22_node_14995";"P22_node_14996";"P22_node_5606";"P22_node_14997";"P22_node_14998";"P22_node_14999";"P22_node_15000";"P22_node_15001";"P22_node_15002";"P22_node_15003";"P22_node_15004";"P22_node_15005";"P22_node_15006";"P22_node_15007";"P22_node_10788";"P22_node_15008";"P22_node_15009";"P22_node_15010";"P22_node_15011";"P22_node_14418";"P22_node_15012";"P22_node_14049";"P22_node_15013";"P22_node_15014";"P22_node_15015";"P22_node_15016";"P22_node_12589";"P22_node_15017";"P22_node_15018";"P22_node_10940";"P22_node_15019";"P22_node_15020";"P22_node_15021";"P22_node_15022";"P22_node_10948";"P22_node_15023";"P22_node_14378";"P22_node_15024";"P22_node_15025";"P22_node_14729";"P22_node_14067";"P22_node_15026";"P22_node_15027";"P22_node_15028";"P22_node_10957";"P22_node_15029";"P22_node_13836";"P22_node_13852";"P22_node_10792";"P22_node_6883";"P22_node_12823";"P22_node_14044";"P22_node_13853";"P22_node_6884";"P22_node_12824";"P22_node_12825";"P22_node_15030";"P22_node_12830";"P22_node_13855";"P22_node_15031";"P22_node_15032";"P22_node_14071";"P22_node_15033";"P22_node_15034"
"P22_node_4126";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4127";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4128";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4129";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_4130";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4131";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_4132";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_4133";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4134";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4135";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
