"";"P22_node_15169";"P22_node_15286";"P22_node_15185";"P22_node_15280";"P22_node_5354";"P22_node_15287";"P22_node_15178";"P22_node_15232";"P22_node_15288";"P22_node_15195";"P22_node_15256";"P22_node_15249";"P22_node_15289";"P22_node_6957";"P22_node_15240";"P22_node_15164";"P22_node_15217";"P22_node_15199";"P22_node_15181";"P22_node_15174"
"P22_node_4392";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_563";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_4365";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_4386";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_4393";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"P22_node_4385";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_495";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4280";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1614";0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"P22_node_891";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1
"P22_node_1650";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
