"";"D22net8_col_1";"D22net8_col_3";"D22net8_col_4";"D22net8_col_5";"D22net8_col_9";"D22net8_col_10";"D22net8_col_2";"D22net8_col_7";"D22net8_col_11";"D22net8_col_8";"D22net8_col_6"
"D22net8_row_1";1;0;0;0;0;0;0;0;0;0;1
"D22net8_row_2";0;1;0;0;0;0;0;0;0;0;1
"D22net8_row_3";0;0;1;0;0;0;0;0;0;0;0
"D22net8_row_4";0;0;0;1;0;0;0;0;0;0;0
"D22net8_row_5";0;0;0;0;1;0;0;0;0;0;0
"D22net8_row_6";0;0;0;0;0;1;0;0;0;0;0
"D22net8_row_7";0;0;0;0;0;0;1;0;0;0;0
"D22net8_row_8";0;0;0;0;0;0;0;1;0;0;0
"D22net8_row_9";0;0;0;0;0;0;0;0;1;0;0
"D22net8_row_10";0;0;0;0;0;0;1;0;0;1;0
"D22net8_row_11";0;0;0;0;0;0;0;0;0;0;1
"D22net8_row_12";0;0;0;0;0;1;0;0;0;0;0
"D22net8_row_13";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_14";0;1;0;0;0;0;0;0;0;0;0
"D22net8_row_15";0;0;0;0;1;1;0;0;0;0;0
"D22net8_row_16";0;0;0;0;1;0;0;0;0;0;0
"D22net8_row_17";0;0;0;0;0;0;1;0;0;1;1
"D22net8_row_18";0;0;0;0;0;0;0;0;0;0;1
"D22net8_row_19";0;0;1;0;0;0;0;0;0;0;0
"D22net8_row_20";0;0;0;0;0;0;0;1;0;0;1
"D22net8_row_21";0;0;0;0;0;0;0;1;0;0;0
"D22net8_row_22";0;0;0;0;0;0;0;1;0;0;0
"D22net8_row_23";0;0;0;0;0;0;0;1;0;0;0
"D22net8_row_24";0;0;0;0;0;1;0;0;0;0;0
"D22net8_row_25";1;0;0;0;0;0;0;0;0;0;0
"D22net8_row_26";0;0;0;1;1;0;1;0;0;0;0
"D22net8_row_27";0;0;0;0;0;0;0;1;0;0;0
"D22net8_row_28";1;0;1;0;0;0;0;0;0;0;0
