"";"TI_HERB_4169";"TI_HERB_4380";"TI_HERB_4324";"TI_HERB_4260";"TI_HERB_4381";"TI_HERB_4174";"TI_HERB_4175";"TI_HERB_4176";"TI_HERB_4382";"TI_HERB_4178";"TI_HERB_4383";"TI_HERB_4179";"TI_HERB_4180";"TI_HERB_4384";"TI_HERB_4181";"TI_HERB_4182";"TI_HERB_4328";"TI_HERB_4183";"TI_HERB_4186";"TI_HERB_4385";"TI_HERB_4265";"TI_HERB_4386";"TI_HERB_4267";"TI_HERB_4329";"TI_HERB_4330";"TI_HERB_4191";"TI_HERB_4387";"TI_HERB_4192";"TI_HERB_4270";"TI_HERB_4388";"TI_HERB_4331";"TI_HERB_4332";"TI_HERB_4194";"TI_HERB_4274";"TI_HERB_4334";"TI_HERB_4275";"TI_HERB_4389";"TI_HERB_4390";"TI_HERB_4198";"TI_HERB_4391";"TI_HERB_4200";"TI_HERB_4392";"TI_HERB_4278";"TI_HERB_4393";"TI_HERB_4394";"TI_HERB_4204";"TI_HERB_4337";"TI_HERB_4395";"TI_HERB_4288";"TI_HERB_4209";"TI_HERB_4342";"TI_HERB_4210";"TI_HERB_4396";"TI_HERB_4213";"TI_HERB_4397";"TI_HERB_4398";"TI_HERB_4399";"TI_HERB_4400";"TI_HERB_4401";"TI_HERB_4402";"TI_HERB_4343";"TI_HERB_4218";"TI_HERB_4220";"TI_HERB_4403";"TI_HERB_4293";"TI_HERB_4404";"TI_HERB_4405";"TI_HERB_4406";"TI_HERB_4407";"TI_HERB_4408";"TI_HERB_4409";"TI_HERB_4410";"TI_HERB_4411";"TI_HERB_4412";"TI_HERB_4413";"TI_HERB_4414";"TI_HERB_4415";"TI_HERB_4416";"TI_HERB_4417";"TI_HERB_4230";"TI_HERB_4418";"TI_HERB_4419";"TI_HERB_4231";"TI_HERB_4302";"TI_HERB_4420";"TI_HERB_4421";"TI_HERB_4422";"TI_HERB_4423";"TI_HERB_4232";"TI_HERB_4233";"TI_HERB_4238";"TI_HERB_4424";"TI_HERB_4363";"TI_HERB_4242";"TI_HERB_4307";"TI_HERB_4425";"TI_HERB_4426";"TI_HERB_4427";"TI_HERB_4428";"TI_HERB_4429";"TI_HERB_4311";"TI_HERB_4430";"TI_HERB_4366";"TI_HERB_4431";"TI_HERB_4314";"TI_HERB_4432";"TI_HERB_4433";"TI_HERB_4434";"TI_HERB_4435";"TI_HERB_4436";"TI_HERB_4437";"TI_HERB_4438";"TI_HERB_4245";"TI_HERB_4439";"TI_HERB_4440";"TI_HERB_4441";"TI_HERB_4442";"TI_HERB_4443";"TI_HERB_4376";"TI_HERB_4444";"TI_HERB_4445";"TI_HERB_4446";"TI_HERB_4379";"TI_HERB_4447";"TI_HERB_4448"
"TI_PLANT_3766";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3771";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3772";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3715";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_3713";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_3703";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3773";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3774";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_3775";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3776";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
