"";"WOL_node_6450";"WOL_node_5272";"WOL_node_5788";"WOL_node_188";"WOL_node_8397";"WOL_node_11840";"WOL_node_12549";"WOL_node_6570";"WOL_node_15495";"WOL_node_3462";"WOL_node_2123";"WOL_node_7811";"WOL_node_10478";"WOL_node_191";"WOL_node_11252";"WOL_node_15480";"WOL_node_15489";"WOL_node_15486";"WOL_node_3769";"WOL_node_180";"WOL_node_189";"WOL_node_1039";"WOL_node_1970";"WOL_node_8491";"WOL_node_2122";"WOL_node_3005";"WOL_node_4351";"WOL_node_4442";"WOL_node_5836";"WOL_node_6034";"WOL_node_8175";"WOL_node_8401";"WOL_node_8495";"WOL_node_11512";"WOL_node_15487"
"WOL_node_12447";1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3080";0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"WOL_node_7023";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"WOL_node_9539";0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
"WOL_node_10689";0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_436";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1
"WOL_node_7197";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_944";0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9532";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_5187";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0
"WOL_node_2847";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
"WOL_node_1006";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
