"";"P22_node_11257";"P22_node_11280";"P22_node_11268";"P22_node_11261";"P22_node_11272";"P22_node_11201";"P22_node_5338";"P22_node_11281";"P22_node_5354";"P22_node_11191";"P22_node_5362";"P22_node_5367";"P22_node_5374";"P22_node_11132";"P22_node_11159";"P22_node_11282";"P22_node_10307";"P22_node_11267";"P22_node_11260";"P22_node_10673";"P22_node_10305";"P22_node_11283";"P22_node_11179";"P22_node_11239";"P22_node_11240";"P22_node_9825";"P22_node_10328";"P22_node_10332";"P22_node_11174";"P22_node_11284";"P22_node_11276";"P22_node_11123";"P22_node_11226";"P22_node_11279"
"P22_node_2432";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2441";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_2430";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"P22_node_2431";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2434";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2433";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2437";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2438";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2442";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_47";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
"P22_node_2409";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0
