"";"D22net14_col_1";"D22net14_col_4";"D22net14_col_6";"D22net14_col_8";"D22net14_col_9";"D22net14_col_10";"D22net14_col_11";"D22net14_col_12";"D22net14_col_13";"D22net14_col_14";"D22net14_col_15";"D22net14_col_16";"D22net14_col_17";"D22net14_col_18";"D22net14_col_19";"D22net14_col_20";"D22net14_col_21";"D22net14_col_22";"D22net14_col_23";"D22net14_col_24";"D22net14_col_25";"D22net14_col_26";"D22net14_col_27";"D22net14_col_28";"D22net14_col_29";"D22net14_col_30";"D22net14_col_31";"D22net14_col_32";"D22net14_col_33";"D22net14_col_34";"D22net14_col_35";"D22net14_col_36";"D22net14_col_37";"D22net14_col_38";"D22net14_col_39";"D22net14_col_40";"D22net14_col_41";"D22net14_col_42";"D22net14_col_43";"D22net14_col_44";"D22net14_col_45";"D22net14_col_46";"D22net14_col_47";"D22net14_col_48";"D22net14_col_49";"D22net14_col_50";"D22net14_col_51";"D22net14_col_52";"D22net14_col_53";"D22net14_col_54";"D22net14_col_55";"D22net14_col_56";"D22net14_col_57";"D22net14_col_58";"D22net14_col_59";"D22net14_col_60";"D22net14_col_61";"D22net14_col_62";"D22net14_col_63";"D22net14_col_64";"D22net14_col_65";"D22net14_col_66";"D22net14_col_67";"D22net14_col_68";"D22net14_col_69";"D22net14_col_70";"D22net14_col_71";"D22net14_col_72";"D22net14_col_73";"D22net14_col_74";"D22net14_col_75";"D22net14_col_76";"D22net14_col_77";"D22net14_col_78";"D22net14_col_79";"D22net14_col_80";"D22net14_col_81";"D22net14_col_82";"D22net14_col_83";"D22net14_col_84";"D22net14_col_85";"D22net14_col_86";"D22net14_col_87";"D22net14_col_88";"D22net14_col_89";"D22net14_col_90";"D22net14_col_91";"D22net14_col_92";"D22net14_col_93";"D22net14_col_94";"D22net14_col_95";"D22net14_col_96";"D22net14_col_97";"D22net14_col_98";"D22net14_col_99";"D22net14_col_100";"D22net14_col_101";"D22net14_col_102";"D22net14_col_103";"D22net14_col_104";"D22net14_col_105";"D22net14_col_106";"D22net14_col_107";"D22net14_col_108";"D22net14_col_109";"D22net14_col_110";"D22net14_col_111";"D22net14_col_112";"D22net14_col_113";"D22net14_col_114";"D22net14_col_115";"D22net14_col_116";"D22net14_col_117";"D22net14_col_118";"D22net14_col_119";"D22net14_col_120";"D22net14_col_121";"D22net14_col_122";"D22net14_col_123";"D22net14_col_124";"D22net14_col_125";"D22net14_col_126";"D22net14_col_127";"D22net14_col_128";"D22net14_col_129";"D22net14_col_130";"D22net14_col_131";"D22net14_col_132";"D22net14_col_133";"D22net14_col_134";"D22net14_col_135";"D22net14_col_136";"D22net14_col_137";"D22net14_col_138";"D22net14_col_139";"D22net14_col_140";"D22net14_col_141";"D22net14_col_142";"D22net14_col_143";"D22net14_col_144"
"D22net14_row_1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
"D22net14_row_2";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net14_row_3";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1
"D22net14_row_4";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net14_row_5";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"D22net14_row_6";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"D22net14_row_7";0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"D22net14_row_8";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0
"D22net14_row_9";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net14_row_10";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
