"";"AI22_node_171";"AI22_node_185";"AI22_node_410";"AI22_node_613";"AI22_node_636";"AI22_node_647";"AI22_node_1208";"AI22_node_1386";"AI22_node_1387";"AI22_node_2024";"AI22_node_2371";"AI22_node_3184";"AI22_node_268";"AI22_node_312";"AI22_node_313";"AI22_node_244";"AI22_node_1054";"AI22_node_3073"
"AI22_node_80";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2149";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1801";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_2743";0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"AI22_node_1022";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2500";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_2273";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1807";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0
"AI22_node_701";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1
"AI22_node_1816";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_2921";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_1264";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"AI22_node_1350";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_2744";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"AI22_node_484";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
