"";"AI22_node_171";"AI22_node_186";"AI22_node_410";"AI22_node_607";"AI22_node_1203";"AI22_node_1208";"AI22_node_2371";"AI22_node_3085";"AI22_node_3184";"AI22_node_313"
"AI22_node_2149";1;0;0;0;0;0;0;0;0;0
"AI22_node_1807";0;1;0;0;0;0;0;1;0;0
"AI22_node_163";0;0;1;1;0;0;0;0;0;0
"AI22_node_1022";0;0;0;1;0;1;0;0;0;0
"AI22_node_1830";0;0;1;0;1;0;0;0;0;0
"AI22_node_1816";0;0;0;0;0;1;0;0;0;0
"AI22_node_464";0;0;0;1;0;0;1;0;0;0
"AI22_node_1375";1;0;1;0;0;0;0;1;0;0
"AI22_node_3385";0;0;0;0;0;0;0;0;1;0
"AI22_node_368";0;0;0;0;0;0;1;0;0;1
