"";"P22_node_13151";"P22_node_14072";"P22_node_14009";"P22_node_5354";"P22_node_5355";"P22_node_10913";"P22_node_10914";"P22_node_14073";"P22_node_10756";"P22_node_12765";"P22_node_14074";"P22_node_6859";"P22_node_14075";"P22_node_14076";"P22_node_14077";"P22_node_10354";"P22_node_10355";"P22_node_10357";"P22_node_10358";"P22_node_12324";"P22_node_12285";"P22_node_14019";"P22_node_5142";"P22_node_10493";"P22_node_11524";"P22_node_10707";"P22_node_14078";"P22_node_14079";"P22_node_14080";"P22_node_14023";"P22_node_14081";"P22_node_14025";"P22_node_8597";"P22_node_10733";"P22_node_14028";"P22_node_14082";"P22_node_14083";"P22_node_14029";"P22_node_14063";"P22_node_14031";"P22_node_14064";"P22_node_14032";"P22_node_14084";"P22_node_6032";"P22_node_14065";"P22_node_5158";"P22_node_5159";"P22_node_10376";"P22_node_5209";"P22_node_7077";"P22_node_10940";"P22_node_14035";"P22_node_13243";"P22_node_14036";"P22_node_7633";"P22_node_6807";"P22_node_14085";"P22_node_11102";"P22_node_7294";"P22_node_14086";"P22_node_14039";"P22_node_13383";"P22_node_14040";"P22_node_14041";"P22_node_14042";"P22_node_6883";"P22_node_13854";"P22_node_6885";"P22_node_12824";"P22_node_12830";"P22_node_14087";"P22_node_10966";"P22_node_9475";"P22_node_14046";"P22_node_14088";"P22_node_14089";"P22_node_8628"
"P22_node_558";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3863";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3868";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2706";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_3879";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3880";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3873";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3881";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2374";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2556";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
