"";"M22_node_125";"M22_node_124";"M22_node_1514";"M22_node_1715";"M22_node_1717";"M22_node_476";"M22_node_1545";"M22_node_1820";"M22_node_1700";"M22_node_2292";"M22_node_2525";"M22_node_104";"M22_node_1824";"M22_node_2399"
"M22_node_408";1;0;0;0;0;0;0;0;0;0;1;0;1;0
"M22_node_874";0;1;0;0;1;0;1;0;0;0;1;0;0;0
"M22_node_1085";0;0;1;0;0;0;0;0;0;0;0;0;1;0
"M22_node_1108";0;0;0;1;0;0;0;1;1;0;0;0;0;0
"M22_node_1177";0;1;0;0;1;0;0;0;0;0;1;1;0;1
"M22_node_1651";0;0;1;1;0;1;0;0;0;1;0;0;0;0
"M22_node_1917";1;0;0;0;0;0;1;0;0;0;0;0;0;0
"M22_node_1920";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"M22_node_2035";1;1;0;0;0;1;0;0;1;0;0;0;1;1
"M22_node_2135";1;0;0;0;0;0;0;0;0;1;0;0;0;1
