"";"AI22_node_171";"AI22_node_1813";"AI22_node_2507";"AI22_node_2803";"AI22_node_2801";"AI22_node_3175";"AI22_node_2307";"AI22_node_3184";"AI22_node_3176";"AI22_node_1439"
"AI22_node_2933";1;0;0;0;0;0;0;0;0;0
"AI22_node_1815";0;1;0;0;0;0;1;1;0;0
"AI22_node_2496";0;0;1;0;0;0;0;0;0;0
"AI22_node_2833";0;0;0;1;0;0;0;0;0;0
"AI22_node_2874";0;0;0;0;1;0;0;0;0;0
"AI22_node_2885";0;0;0;0;0;1;0;0;0;0
"AI22_node_2824";0;0;0;0;0;0;1;0;0;0
"AI22_node_3327";0;0;0;0;0;0;0;1;0;0
"AI22_node_1005";0;0;0;0;0;0;0;0;1;1
"AI22_node_934";0;0;0;0;0;0;0;0;0;1
"AI22_node_935";0;0;0;0;0;0;0;1;0;0
"AI22_node_877";0;0;0;0;0;0;1;0;0;0
"AI22_node_3242";0;0;0;0;0;1;0;0;0;1
"AI22_node_1916";0;0;1;0;0;0;0;0;0;0
"AI22_node_870";0;0;0;0;0;0;0;0;0;1
"AI22_node_1713";0;1;0;0;0;0;0;0;0;0
"AI22_node_2135";0;0;0;0;0;1;1;0;1;0
"AI22_node_2843";0;0;0;0;0;0;0;0;0;1
